Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,MIA 30,0,0,"Olindo Mare kicks off 68 yards, returned by Bethel Johnson for 21 yards (tackle by David Bowens). Penalty on Tully Banta-Cain: Offensive Holding, 10 yards",0.000,-0.320
1,14:52,1,10,NWE 13,0,0,Tom Brady pass complete to Bethel Johnson for 6 yards (tackle by Travis Daniels),-0.320,0.030
1,14:19,2,4,NWE 19,0,0,Heath Evans up the middle for 21 yards (tackle by Lance Schulters),0.030,1.600
1,13:34,1,10,NWE 40,0,0,Tom Brady pass complete to Troy Brown for 16 yards (tackle by Zach Thomas),1.600,2.650
1,12:57,1,10,MIA 44,0,0,Heath Evans left guard for 1 yard (tackle by Jeff Zgonina and Channing Crowder),2.650,2.250
1,12:25,2,9,MIA 43,0,0,Heath Evans right guard for 8 yards (tackle by Jason Taylor and Lance Schulters),2.250,2.610
1,11:38,3,1,MIA 35,0,0,Mike Cloud left guard for -1 yards (tackle by Zach Thomas and Jeff Zgonina),2.610,0.890
1,10:58,4,2,MIA 36,0,0,Josh Miller punts 33 yards,0.890,0.380
1,10:48,1,10,MIA 3,0,0,Ronnie Brown right guard for 2 yards (tackle by Michael Stone),-0.380,-0.630
1,10:16,2,8,MIA 5,0,0,Gus Frerotte pass incomplete intended for Chris Chambers (defended by Eugene Wilson),-0.630,-1.190
1,10:08,3,8,MIA 5,0,0,Gus Frerotte pass complete to Randy McMichael for 15 yards (tackle by Ellis Hobbs and Rosevelt Colvin),-1.190,0.280
1,9:29,1,10,MIA 20,0,0,Ronnie Brown right end for 2 yards (tackle by Mike Vrabel and Tedy Bruschi),0.280,0.000
1,8:50,2,8,MIA 22,0,0,Gus Frerotte pass complete to Ronnie Brown for 6 yards (tackle by Rosevelt Colvin),0.000,0.100
1,8:12,3,2,MIA 28,0,0,Ronnie Brown left end for no gain (tackle by Mike Vrabel and Tedy Bruschi),0.100,-1.500
1,7:35,4,2,MIA 28,0,0,"Donnie Jones punts 49 yards, returned by Tim Dwight for -5 yards (tackle by Travis Minor)",-1.500,-0.040
1,7:24,1,10,NWE 18,0,0,Tom Brady sacked by Jason Taylor for 0 yards,0.040,-0.490
1,6:46,2,10,NWE 18,0,0,Mike Cloud right tackle for 7 yards (tackle by Lance Schulters),-0.490,-0.270
1,6:07,3,3,NWE 25,0,0,Tom Brady pass complete to Christian Fauria for 5 yards (tackle by Channing Crowder),-0.270,0.940
1,5:27,1,10,NWE 30,0,0,Mike Cloud right tackle for 2 yards (tackle by Channing Crowder and Travares Tillman),0.940,0.660
1,4:48,2,8,NWE 32,0,0,Tom Brady pass incomplete intended for Deion Branch,0.660,-0.030
1,4:42,3,8,NWE 32,0,0,Tom Brady sacked by Kevin Carter for -1 yards. Penalty on Logan Mankins: Offensive Holding (Declined),-0.030,-1.310
1,4:27,4,9,NWE 31,0,0,"Josh Miller punts 54 yards, muffed catch by Wes Welker, recovered by Wes Welker and returned for no gain. Penalty on Eddie Jackson: Defensive Offside (Declined)",-1.310,0.380
1,4:17,1,10,MIA 10,0,0,Gus Frerotte pass complete to Ronnie Brown for 4 yards (tackle by Willie McGinest),-0.380,-0.460
1,3:43,2,6,MIA 14,0,0,Ronnie Brown left tackle for 3 yards (tackle by Vince Wilfork),-0.460,-0.600
1,2:59,3,3,MIA 17,0,0,Gus Frerotte pass complete to Marty Booker for 9 yards (tackle by Ellis Hobbs),-0.600,0.670
1,2:24,1,10,MIA 26,0,0,Ricky Williams left guard for -1 yards (tackle by Rosevelt Colvin and Richard Seymour),0.670,-0.010
1,1:42,2,11,MIA 25,0,0,Gus Frerotte pass incomplete intended for Chris Chambers (defended by Ellis Hobbs),-0.010,-0.690
1,1:37,,,,0,0,Timeout #1 by Miami Dolphins,0.000,-0.690
1,1:37,3,11,MIA 25,0,0,Gus Frerotte pass incomplete intended for Chris Chambers (defended by Eugene Wilson),-0.690,-1.700
1,1:27,4,11,MIA 25,0,0,"Penalty on Ellis Hobbs: Defensive Delay of Game, 5 yards (no play)",-1.700,-1.370
1,1:27,4,6,MIA 30,0,0,"Donnie Jones punts 58 yards, fair catch by Tim Dwight",-1.370,0.350
1,1:19,1,10,NWE 12,0,0,Heath Evans right guard for 4 yards (tackle by Zach Thomas and Channing Crowder),-0.350,-0.370
1,0:40,2,6,NWE 16,0,0,Heath Evans left tackle for 14 yards (tackle by Jason Taylor),-0.370,0.940
Quarter,Time,Down,ToGo,Location,NWE,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 30,0,0,Tom Brady pass incomplete intended for Deion Branch (defended by Travis Daniels),0.940,0.390
2,14:52,2,10,NWE 30,0,0,Mike Cloud up the middle for -3 yards (tackle by Zach Thomas),0.390,-0.690
2,14:10,3,13,NWE 27,0,0,"Penalty on Deion Branch: False Start, 5 yards (no play)",-0.690,-1.350
2,13:47,3,18,NWE 22,0,0,"Penalty on Brandon Gorin: False Start, 5 yards (no play)",-1.350,-2.360
2,13:32,3,23,NWE 17,0,0,Tom Brady pass complete to Deion Branch for 16 yards (tackle by Sam Madison),-2.360,-1.180
2,13:27,4,7,NWE 33,0,0,"Josh Miller punts 48 yards, returned by Wes Welker for 6 yards (tackle by Michael Stone)",-1.180,-0.610
2,13:14,1,10,MIA 25,0,0,Ricky Williams right tackle for 2 yards (tackle by Vince Wilfork),0.610,0.330
2,12:46,2,8,MIA 27,0,0,Gus Frerotte pass complete to Randy McMichael for 7 yards (tackle by James Sanders),0.330,0.560
2,12:16,3,1,MIA 34,0,0,Ricky Williams up the middle for 5 yards (tackle by Mike Vrabel and Ellis Hobbs),0.560,1.530
2,11:49,1,10,MIA 39,0,0,Ricky Williams up the middle for 2 yards (tackle by Vince Wilfork),1.530,1.260
2,11:21,2,8,MIA 41,0,0,Gus Frerotte pass complete to Chris Chambers for 12 yards (tackle by Eugene Wilson),1.260,2.460
2,10:51,1,10,NWE 47,0,0,Gus Frerotte pass complete to Marty Booker for 35 yards (tackle by Eugene Wilson),2.460,4.780
2,10:26,1,10,NWE 12,0,0,Ricky Williams left end for -1 yards (tackle by Michael Stone),4.780,3.940
2,9:54,2,11,NWE 13,0,0,Gus Frerotte pass incomplete intended for Darian Barnes (defended by Richard Seymour),3.940,3.100
2,9:49,3,11,NWE 13,0,0,Gus Frerotte pass incomplete intended for Wes Welker (defended by Tedy Bruschi),3.100,2.570
2,9:44,4,11,NWE 13,0,0,Olindo Mare 31 yard field goal no good,2.570,-0.340
2,9:40,1,10,NWE 21,0,0,Tom Brady pass complete to Ben Watson for 4 yards (tackle by Zach Thomas and Junior Seau),0.340,0.340
2,9:04,2,6,NWE 25,0,0,Heath Evans up the middle for no gain (tackle by Keith Traylor),0.340,-0.360
2,8:22,3,6,NWE 25,0,0,Tom Brady pass incomplete intended for Deion Branch (defended by David Bowens),-0.360,-1.700
2,8:18,4,6,NWE 25,0,0,"Josh Miller punts 51 yards, returned by Wes Welker for 7 yards (tackle by Mike Vrabel)",-1.700,-1.000
2,8:07,1,10,MIA 31,0,0,Gus Frerotte pass complete to Marty Booker for 24 yards (tackle by Ellis Hobbs),1.000,2.590
2,7:34,1,10,NWE 45,0,0,Ronnie Brown right tackle for 13 yards (tackle by Eugene Wilson),2.590,3.450
2,7:03,1,10,NWE 32,0,0,Ricky Williams up the middle for 1 yard (tackle by Vince Wilfork),3.450,3.040
2,6:26,2,9,NWE 31,0,0,Gus Frerotte pass complete to Randy McMichael for 8 yards (tackle by Asante Samuel and Michael Stone),3.040,3.400
2,6:20,3,1,NWE 23,0,0,Ronnie Brown right guard for 2 yards (tackle by Rosevelt Colvin and Mike Vrabel),3.400,4.170
2,5:43,1,10,NWE 21,0,0,Ronnie Brown up the middle for 2 yards (tackle by Vince Wilfork),4.170,3.900
2,5:07,2,8,NWE 19,0,0,Ronnie Brown right tackle for 16 yards (tackle by Asante Samuel),3.900,6.510
2,4:26,,,,0,0,Timeout #1 by New England Patriots,0.000,6.510
2,4:26,1,3,NWE 3,0,6,"Gus Frerotte pass complete to Chris Chambers for 3 yards, touchdown",6.510,7.000
2,,,,NWE 2,0,7,Olindo Mare kicks extra point good,0.000,0.000
2,,,,MIA 30,0,7,"Olindo Mare kicks off 70 yards, returned by Bethel Johnson for 19 yards (tackle by Darian Barnes)",0.000,0.150
2,4:17,1,10,NWE 19,0,7,Mike Cloud left tackle for 4 yards (tackle by Jeff Zgonina and Zach Thomas),0.150,0.210
2,3:39,2,6,NWE 23,0,7,Tom Brady pass incomplete intended for Christian Fauria,0.210,-0.550
2,3:34,3,6,NWE 23,0,7,Tom Brady pass incomplete intended for Deion Branch,-0.550,-1.830
2,3:29,4,6,NWE 23,0,7,"Josh Miller punts 41 yards, fair catch by Wes Welker",-1.830,-1.330
2,3:22,1,10,MIA 36,0,7,Ronnie Brown right tackle for 1 yard (tackle by Michael Stone),1.330,0.930
2,2:45,2,9,MIA 37,0,7,Gus Frerotte pass complete to Chris Chambers for 17 yards (tackle by Ellis Hobbs),0.930,2.520
2,2:11,1,10,NWE 46,0,7,Ronnie Brown left tackle for 10 yards (tackle by Mike Vrabel),2.520,3.180
2,2:00,1,10,NWE 36,0,7,"Gus Frerotte pass complete to Randy McMichael for 27 yards (tackle by Rosevelt Colvin). Randy McMichael fumbles (forced by Rosevelt Colvin), recovered by Ellis Hobbs at NWE-8 and returned for 7 yards (tackle by Darian Barnes)",3.180,0.220
2,1:48,1,10,NWE 15,0,7,Heath Evans left end for 14 yards (tackle by Zach Thomas),-0.220,0.870
