Quarter,Time,Tm,Detail,PHI,BUF
1.0,10:18,Eagles,Correll Buckhalter 2 yard rush (David Akers kick),7,0
,0:09,Eagles,David Akers 26 yard field goal,10,0
2.0,0:09,Eagles,David Akers 34 yard field goal,13,0
3.0,0:26,Eagles,David Akers 22 yard field goal,16,0
4.0,9:12,Bills,Bobby Shaw 3 yard pass from Drew Bledsoe (pass failed),16,6
,2:49,Bills,Drew Bledsoe 1 yard rush (Rian Lindell kick),16,13
,2:10,Eagles,Brian Westbrook 62 yard rush (David Akers kick),23,13
