Quarter,Time,Down,ToGo,Location,PHI,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,BUF 30,0,0,"Rian Lindell kicks off 63 yards, returned by Brian Westbrook for 22 yards (tackle by Dominique Stevenson)",0.000,0.870
1,14:54,1,10,PHI 29,0,0,Donovan McNabb pass complete to Todd Pinkston for 27 yards (tackle by Pierson Prioleau). Penalty on BUF: Defensive 12 On-field (Declined),0.870,2.650
1,14:45,1,10,BUF 44,0,0,Duce Staley up the middle for 2 yards (tackle by London Fletcher),2.650,2.380
1,14:07,,,,0,0,Timeout #1 by Philadelphia Eagles,0.000,2.380
1,14:07,2,8,BUF 42,0,0,Donovan McNabb left end for 25 yards (tackle by London Fletcher),2.380,4.440
1,13:31,1,10,BUF 17,0,0,Donovan McNabb sacked by Jeff Posey and Aaron Schobel for -7 yards,4.440,2.950
1,12:51,2,17,BUF 24,0,0,"Correll Buckhalter right guard for 8 yards (tackle by Lawyer Milloy). Penalty on Aaron Schobel: Defensive Offside, 5 yards (no play)",2.950,3.600
1,12:26,2,12,BUF 19,0,0,James Thrash right end for 4 yards (tackle by Pierson Prioleau and Takeo Spikes),3.600,3.340
1,11:38,3,8,BUF 15,0,0,Donovan McNabb pass complete to L.J. Smith for 9 yards (tackle by Antoine Winfield),3.340,5.830
1,11:07,1,6,BUF 6,0,0,Correll Buckhalter left tackle for 4 yards (tackle by Pierson Prioleau and Ryan Denney),5.830,5.720
1,10:22,2,2,BUF 2,6,0,"Correll Buckhalter up the middle for 2 yards, touchdown",5.720,7.000
1,,,,BUF 2,7,0,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,7,0,"David Akers kicks off 60 yards, returned by Antonio Brown for 41 yards (tackle by David Akers)",0.000,2.320
1,10:10,1,10,PHI 49,7,0,Drew Bledsoe sacked by Corey Simon for -8 yards,2.320,0.700
1,9:42,2,18,BUF 43,7,0,Drew Bledsoe pass complete to Eric Moulds for 5 yards (tackle by Troy Vincent),0.700,0.700
1,9:00,3,13,BUF 48,7,0,Drew Bledsoe pass incomplete intended for Bobby Shaw,0.700,-0.190
1,8:55,4,13,BUF 48,7,0,"Brian Moorman punts 37 yards, returned by Brian Westbrook for 12 yards (tackle by Kevin Thomas)",-0.190,-0.740
1,8:45,1,10,PHI 27,7,0,Brian Westbrook left end for 10 yards (tackle by Lawyer Milloy),0.740,1.400
1,8:18,1,10,PHI 37,7,0,Brian Westbrook left tackle for 4 yards (tackle by Pat Williams),1.400,1.400
1,7:43,2,6,PHI 41,7,0,Donovan McNabb pass incomplete intended for Correll Buckhalter (defended by Ryan Denney),1.400,0.700
1,7:37,3,6,PHI 41,7,0,Donovan McNabb pass complete to James Thrash for 16 yards (tackle by Pierson Prioleau),0.700,2.720
1,7:06,1,10,BUF 43,7,0,"Correll Buckhalter up the middle for -2 yards (tackle by Antoine Winfield). Correll Buckhalter fumbles (forced by Antoine Winfield), recovered by John Welbourn at BUF-45",2.720,1.910
1,6:23,2,12,BUF 45,7,0,"Donovan McNabb pass complete to Brian Westbrook for 3 yards (tackle by Antoine Winfield). Penalty on Freddie Mitchell: Offensive Pass Interference, 10 yards (no play)",1.910,0.560
1,5:42,2,22,PHI 45,7,0,"Brian Westbrook right end for 5 yards (tackle by Pierson Prioleau and Jeff Posey). Penalty on Lawyer Milloy: Unnecessary Roughness, 15 yards",0.560,3.250
1,5:17,1,10,BUF 35,7,0,Brian Westbrook right guard for 2 yards (tackle by London Fletcher and Takeo Spikes),3.250,2.970
1,4:35,2,8,BUF 33,7,0,Donovan McNabb pass incomplete (defended by Ryan Denney),2.970,2.280
1,4:12,3,8,BUF 33,7,0,Donovan McNabb pass complete to Todd Pinkston for 11 yards (tackle by Kevin Thomas),2.280,4.110
1,4:10,1,10,BUF 22,7,0,Donovan McNabb left end for 2 yards (tackle by Takeo Spikes),4.110,3.830
1,3:27,2,8,BUF 20,7,0,Brian Westbrook right end for 4 yards (tackle by Lawyer Milloy),3.830,3.740
1,2:58,3,4,BUF 16,7,0,Donovan McNabb pass complete to Todd Pinkston for 5 yards (tackle by Kevin Thomas),3.740,4.840
1,2:14,1,10,BUF 11,7,0,Correll Buckhalter right guard for 3 yards (tackle by Pat Williams),4.840,4.700
1,1:27,,,,7,0,Timeout #2 by Philadelphia Eagles,0.000,4.700
1,1:27,2,7,BUF 8,7,0,Donovan McNabb sacked by Aaron Schobel for -7 yards,4.700,2.970
1,0:52,3,14,BUF 15,7,0,Donovan McNabb pass complete to Duce Staley for 7 yards (tackle by Chris Kelsay),2.970,2.960
1,0:13,4,7,BUF 8,10,0,David Akers 26 yard field goal good,2.960,3.000
1,,,,PHI 30,10,0,"David Akers kicks off 59 yards, returned by Antonio Brown for 22 yards (tackle by Lito Sheppard)",0.000,1.140
1,0:03,1,10,BUF 33,10,0,"Drew Bledsoe pass complete to Eric Moulds for 13 yards (tackle by Lito Sheppard). Penalty on Ruben Brown: Offensive Holding, 10 yards (no play)",1.140,0.480
Quarter,Time,Down,ToGo,Location,PHI,BUF,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,20,BUF 23,10,0,Joe Burns up the middle for 2 yards (tackle by Mark Simoneau),0.480,-0.490
2,14:20,2,18,BUF 25,10,0,Drew Bledsoe pass complete to Bobby Shaw for 10 yards (tackle by Sheldon Brown),-0.490,0.170
2,13:33,3,8,BUF 35,10,0,Drew Bledsoe pass complete to Eric Moulds for 10 yards (tackle by Sheldon Brown),0.170,1.930
2,13:00,1,10,BUF 45,10,0,Joe Burns right tackle for 5 yards (tackle by Michael Lewis and Carlos Emmons),1.930,2.060
