Unnamed: 0,PHI,BUF
First Downs,19,15
Rush-Yds-TDs,34-176-2,12-21-1
Cmp-Att-Yd-TD-INT,18-29-173-0-0,27-43-296-1-0
Sacked-Yards,2-14,2-9
Net Pass Yards,159,287
Total Yards,335,308
Fumbles-Lost,2-0,3-1
Turnovers,0,1
Penalties-Yards,7-45,10-84
Third Down Conv.,9-16,6-15
Fourth Down Conv.,0-0,2-3
Time of Possession,33:48,26:12
