Quarter,Time,Tm,Detail,KAN,PHI
1.0,6:08,Eagles,LeSean McCoy 5 yard rush (David Akers kick),0,7
,1:21,Eagles,Kevin Kolb 1 yard rush (David Akers kick),0,14
2.0,8:34,Chiefs,Mark Bradley 13 yard pass from Matt Cassel (Ryan Succop kick),7,14
,8:16,Eagles,DeSean Jackson 64 yard pass from Kevin Kolb (David Akers kick),7,21
,0:31,Eagles,David Akers 29 yard field goal,7,24
3.0,9:15,Eagles,David Akers 38 yard field goal,7,27
4.0,6:43,Eagles,Brent Celek 35 yard pass from Kevin Kolb (David Akers kick),7,34
,1:54,Chiefs,Bobby Wade 9 yard pass from Matt Cassel (Ryan Succop kick),14,34
