Unnamed: 0,KAN,PHI
First Downs,11,21
Rush-Yds-TDs,29-99-0,27-93-2
Cmp-Att-Yd-TD-INT,15-19-116-2-0,24-36-327-2-0
Sacked-Yards,3-19,0-0
Net Pass Yards,97,327
Total Yards,196,420
Fumbles-Lost,2-1,2-1
Turnovers,1,1
Penalties-Yards,10-90,3-20
Third Down Conv.,0-11,6-13
Fourth Down Conv.,2-2,0-1
Time of Possession,29:25,30:35
