Unnamed: 0,BUF,OAK
First Downs,14,12
Rush-Yds-TDs,24-67-0,26-73-0
Cmp-Att-Yd-TD-INT,14-25-222-1-1,19-27-209-1-0
Sacked-Yards,7-46,2-9
Net Pass Yards,176,200
Total Yards,243,273
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,7-55,10-96
Third Down Conv.,4-13,8-15
Fourth Down Conv.,2-3,0-0
Time of Possession,30:19,29:41
