Quarter,Time,Tm,Detail,BUF,OAK
2.0,14:46,Raiders,Ronald Curry 43 yard pass from Rich Gannon (Sebastian Janikowski kick),0,7
,3:23,Bills,Rian Lindell 32 yard field goal,3,7
3.0,12:08,Raiders,Sebastian Janikowski 21 yard field goal,3,10
4.0,2:27,Raiders,Sebastian Janikowski 33 yard field goal,3,13
,1:20,Bills,Eric Moulds 5 yard pass from Drew Bledsoe (Rian Lindell kick),10,13
