Quarter,Time,Down,ToGo,Location,NYG,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Riley Patterson kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NYG 25,0,0,Daniel Jones pass complete short right to Darius Slayton for 12 yards (tackle by Andre Cisco),0.610,1.400
1,14:25,1,10,NYG 37,0,0,Daniel Jones pass incomplete short middle intended for Darius Slayton,1.400,0.860
1,14:21,2,10,NYG 37,0,0,Daniel Jones pass complete short right to Wan'Dale Robinson for 7 yards (tackle by Darious Williams),0.860,1.090
1,13:39,3,3,NYG 44,0,0,Daniel Jones scrambles up the middle for 14 yards (tackle by Andre Cisco),1.090,2.790
1,13:08,1,10,JAX 42,0,0,Daniel Jones pass complete short left to Wan'Dale Robinson for 1 yard (tackle by Darious Williams),2.790,2.380
1,12:24,2,9,JAX 41,0,0,Daniel Jones pass complete short right to Wan'Dale Robinson for 4 yards (tackle by Tre Herndon and Darious Williams),2.380,2.210
1,11:54,3,5,JAX 37,0,0,Daniel Jones pass complete short left to Saquon Barkley for 9 yards (tackle by Arden Key),2.210,3.710
1,11:12,1,10,JAX 28,0,0,Saquon Barkley left end for -4 yards (tackle by Roy Robertson-Harris),3.710,2.630
1,10:29,2,14,JAX 32,6,0,"Daniel Jones pass complete deep right to Darius Slayton for 32 yards, touchdown",2.630,7.000
1,10:21,,,JAX 15,7,0,Graham Gano kicks extra point good,0.000,0.000
1,10:21,,,NYG 35,7,0,"Graham Gano kicks off 54 yards, returned by Jamycal Hasty for 19 yards (tackle by Fabian Moreau)",0.000,0.940
1,10:16,1,10,JAX 30,7,0,Trevor Lawrence pass complete short left to Evan Engram for 13 yards,0.940,1.800
1,9:42,1,10,JAX 43,7,0,Travis Etienne up the middle for 1 yard (tackle by Jihad Ward and Nick Williams),1.800,1.390
1,9:04,2,9,JAX 44,7,0,Zay Jones right end for 14 yards (tackle by Kayvon Thibodeaux),1.390,2.790
1,8:27,1,10,NYG 42,7,0,Trevor Lawrence pass complete short middle to Christian Kirk for 11 yards (tackle by Jaylon Smith),2.790,3.510
1,7:46,1,10,NYG 31,7,0,Trevor Lawrence pass complete short left to Dan Arnold for 24 yards (tackle by Fabian Moreau),3.510,5.600
1,7:02,1,7,NYG 7,7,6,"Travis Etienne left guard for 7 yards, touchdown",5.600,7.000
1,6:58,,,NYG 15,7,6,Riley Patterson kicks extra point good (no play),0.000,1.000
1,6:58,1,1,NYG 2,7,8,"Two Point Attempt: Travis Etienne rushes, conversion succeeds.",1.000,1.000
1,6:58,,,JAX 35,7,8,"Riley Patterson kicks off 65 yards, touchback.",0.000,0.610
1,6:58,1,10,NYG 25,7,8,"Daniel Jones scrambles right end for 2 yards (tackle by Rayshawn Jenkins). Penalty on Josh Allen: Defensive Holding, 5 yards (accepted)",0.610,1.070
1,6:37,1,10,NYG 32,7,8,Saquon Barkley right end for 2 yards (tackle by Devin Lloyd and Foyesade Oluokun),1.070,0.800
1,5:58,2,8,NYG 34,7,8,Daniel Jones pass incomplete short left intended for Wan'Dale Robinson (defended by Darious Williams),0.800,0.100
1,5:53,3,8,NYG 34,7,8,"Daniel Jones sacked by Josh Allen for no gain. Daniel Jones fumbles (forced by Josh Allen), recovered by Darious Williams at NYG-39 (tackle by Josh Allen). Penalty on Josh Allen: Defensive Offside, 5 yards (accepted) (no play)",0.100,0.760
1,5:50,3,3,NYG 39,7,8,Daniel Jones pass complete short left to Wan'Dale Robinson for 10 yards (tackle by Darious Williams),0.760,2.190
1,5:20,1,10,NYG 49,7,8,"Daniel Jones pass incomplete intended for Wan'Dale Robinson. Penalty on Tanner Hudson: Offensive Holding, 10 yards (accepted) (no play)",2.190,1.530
1,5:20,1,20,NYG 39,7,8,Daniel Jones pass incomplete deep middle intended for Marcus Johnson,1.530,0.300
1,5:13,2,20,NYG 39,7,8,Daniel Jones pass complete short right to Saquon Barkley for 6 yards (tackle by Devin Lloyd and Tre Herndon),0.300,0.430
1,4:26,3,14,NYG 45,7,8,Daniel Jones pass incomplete short left intended for Richie James (defended by Darious Williams),0.430,-0.390
1,4:18,4,14,NYG 45,7,8,Jamie Gillan punts 34 yards downed by Tomon Fox,-0.390,-0.340
1,4:07,1,10,JAX 21,7,8,Travis Etienne left end for 15 yards (tackle by Tae Crowder),0.340,1.270
1,3:32,1,10,JAX 35,7,8,Trevor Lawrence pass complete short middle to Evan Engram for 28 yards (tackle by Adoree' Jackson and Julian Love),1.270,3.180
1,2:56,1,10,NYG 36,7,8,Travis Etienne up the middle for 7 yards (tackle by Jihad Ward),3.180,3.580
1,2:35,2,3,NYG 29,7,8,Travis Etienne right guard for 1 yard (tackle by Jaylon Smith),3.580,3.010
1,1:56,3,2,NYG 28,7,8,Trevor Lawrence right end for 1 yard (tackle by Dexter Lawrence),3.010,1.820
1,1:19,4,1,NYG 27,7,8,Trevor Lawrence pass complete short right to Zay Jones for 2 yards (tackle by Fabian Moreau),1.820,3.910
1,0:36,1,10,NYG 25,7,8,Trevor Lawrence pass complete short right to Christian Kirk for 5 yards (tackle by Adoree' Jackson and Darnay Holmes),3.910,4.040
Quarter,Time,Down,ToGo,Location,NYG,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,NYG 20,7,8,Jamycal Hasty left end for 6 yards (tackle by Kayvon Thibodeaux and Fabian Moreau),4.040,4.650
2,14:14,1,10,NYG 14,7,8,Trevor Lawrence pass incomplete short left intended for James Robinson,4.650,4.000
2,14:08,2,10,NYG 14,7,8,Trevor Lawrence pass incomplete short right intended for Evan Engram,4.000,3.110
2,14:03,3,10,NYG 14,7,8,Trevor Lawrence pass complete short right to Travis Etienne for 5 yards (tackle by Landon Collins),3.110,2.880
2,13:26,4,5,NYG 9,7,11,Riley Patterson 27 yard field goal good,2.880,3.000
2,13:23,,,JAX 35,7,11,"Riley Patterson kicks off 65 yards, touchback.",0.000,0.610
2,13:23,1,10,NYG 25,7,11,Saquon Barkley up the middle for 5 yards (tackle by Roy Robertson-Harris),0.610,0.600
2,12:54,2,6,NYG 29,7,11,Daniel Jones pass complete short middle to Wan'Dale Robinson for 17 yards (tackle by Andre Cisco),0.600,2.060
2,12:17,1,10,NYG 47,7,11,Saquon Barkley up the middle for 2 yards (tackle by Folorunso Fatukasi and Foyesade Oluokun),2.060,1.790
2,11:38,2,8,NYG 49,7,11,Daniel Jones pass complete short left to Matt Breida for 14 yards (tackle by Devin Lloyd),1.790,3.120
2,10:57,1,10,JAX 37,7,11,Daniel Jones pass complete short left to Richie James for 2 yards (tackle by Arden Key),3.120,2.840
2,10:16,2,8,JAX 35,7,11,Daniel Jones right end for 12 yards (tackle by Darious Williams),2.840,4.040
2,9:40,1,10,JAX 23,7,11,Saquon Barkley up the middle for -3 yards (tackle by Rayshawn Jenkins and Dawuane Smoot),4.040,3.090
2,8:58,2,13,JAX 26,7,11,"Daniel Jones pass incomplete intended for Wan'Dale Robinson. Penalty on Marcus Johnson: Offensive Pass Interference, 9 yards (accepted) . Penalty on Joshua Ezeudu: Ineligible Downfield Pass, 5 yards (declined) (no play)",3.090,1.740
2,8:58,2,23,JAX 36,7,11,Daniel Jones scrambles right end for 9 yards (tackle by Foyesade Oluokun),1.740,2.410
2,8:12,3,13,JAX 26,7,11,Daniel Jones pass complete short left to Wan'Dale Robinson for 11 yards (tackle by Foyesade Oluokun and Devin Lloyd),2.410,2.570
2,7:31,4,2,JAX 15,10,11,Graham Gano 33 yard field goal good,2.570,3.000
2,7:27,,,NYG 35,10,11,"Graham Gano kicks off 68 yards, returned by Jamycal Hasty for 22 yards (tackle by Cam Brown)",0.000,0.150
2,7:22,1,10,JAX 19,10,11,Trevor Lawrence pass complete short left to Marvin Jones for 13 yards (tackle by Fabian Moreau),0.150,1.070
2,6:46,1,10,JAX 32,10,11,"Trevor Lawrence pass complete to Christian Kirk for 15 yards. Penalty on Brandon Scherff: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.070,0.740
2,6:11,1,15,JAX 27,10,11,Trevor Lawrence pass incomplete short middle intended for Evan Engram (defended by Tae Crowder),0.740,-0.150
2,6:07,2,15,JAX 27,10,11,Trevor Lawrence pass complete short left to Evan Engram for 14 yards (tackle by Julian Love and Justin Ellis),-0.150,1.030
2,5:24,3,1,JAX 41,10,11,Trevor Lawrence pass complete short right to Christian Kirk for 8 yards (tackle by Adoree' Jackson),1.030,2.190
2,4:42,1,10,JAX 49,10,11,"James Robinson for -2 yards. Penalty on Chris Manhertz: Unnecessary Roughness / Offense, 15 yards (accepted) (no play)",2.190,1.200
