Unnamed: 0,PHI,ARI
First Downs,16,16
Rush-Yds-TDs,21-113-0,34-99-0
Cmp-Att-Yd-TD-INT,17-37-217-0-0,17-24-222-2-0
Sacked-Yards,5-23,3-29
Net Pass Yards,194,193
Total Yards,307,292
Fumbles-Lost,3-3,0-0
Turnovers,3,0
Penalties-Yards,5-65,5-45
Third Down Conv.,5-14,6-15
Fourth Down Conv.,0-1,0-1
Time of Possession,25:27,34:33
