Quarter,Time,Tm,Detail,PHI,ARI
1.0,10:18,Cardinals,Jay Feely 47 yard field goal,0,3
,1:04,Cardinals,Michael Floyd 8 yard pass from Kevin Kolb (Jay Feely kick),0,10
2.0,7:30,Cardinals,Larry Fitzgerald 37 yard pass from Kevin Kolb (Jay Feely kick),0,17
,0:00,Cardinals,James Sanders 93 yard defensive fumble return (Jay Feely kick),0,24
3.0,5:07,Eagles,Alex Henery 36 yard field goal,3,24
,0:02,Eagles,Alex Henery 40 yard field goal,6,24
4.0,3:52,Cardinals,Jay Feely 27 yard field goal,6,27
