Unnamed: 0,LAR,TAM
First Downs,24,20
Rush-Yds-TDs,30-73-1,14-51-2
Cmp-Att-Yd-TD-INT,28-38-366-2-0,30-54-329-1-1
Sacked-Yards,2-11,3-21
Net Pass Yards,355,308
Total Yards,428,359
Fumbles-Lost,4-4,1-1
Turnovers,4,2
Penalties-Yards,4-45,4-61
Third Down Conv.,4-11,3-14
Fourth Down Conv.,0-0,2-4
Time of Possession,34:08,25:52
