#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,TAM 20,5,2:15,23,Punt
2,1,8:01,TAM 25,3,0:46,1,Punt
3,1,3:28,TAM 25,6,2:56,48,Field Goal
4,2,14:17,TAM 14,3,0:59,3,Punt
5,2,12:32,TAM 20,12,3:32,50,Missed FG
6,2,2:19,TAM 15,2,0:26,-7,Interception
7,2,0:19,TAM 1,1,0:19,0,End of Half
8,3,11:51,TAM 5,3,1:26,7,Punt
9,3,7:07,TAM 25,10,4:05,62,Field Goal
10,3,2:45,LAR 30,7,2:33,30,Touchdown
11,4,14:41,TAM 30,1,0:08,-5,Fumble
12,4,14:25,LAR 45,5,2:03,9,Downs
13,4,6:31,TAM 37,6,2:05,32,Downs
14,4,3:56,TAM 23,3,0:36,77,Touchdown
15,4,2:25,LAR 30,7,1:43,30,Touchdown
