Quarter,Time,Down,ToGo,Location,LAR,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Rams won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,LAR 35,0,0,"Matt Gay kicks off 65 yards, returned by Jaelon Darden for 20 yards (tackle by Grant Haley)",,
1,14:56,1,10,TAM 20,0,0,Leonard Fournette right tackle for 11 yards (tackle by Nick Scott),,
1,14:19,1,10,TAM 31,0,0,Leonard Fournette left guard for 10 yards (tackle by Terrell Burgess and A'Shawn Robinson),,
1,13:37,1,10,TAM 41,0,0,Leonard Fournette up the middle for 2 yards (tackle by Greg Gaines and A'Shawn Robinson),,
1,13:04,2,8,TAM 43,0,0,Tom Brady pass incomplete short right intended for Scott Miller,,
1,12:58,3,8,TAM 43,0,0,Tom Brady pass incomplete short left intended for Rob Gronkowski (defended by Darious Williams),,
1,12:54,4,8,TAM 43,0,0,"Bradley Pinion punts 57 yards, touchback.",,
1,12:45,1,10,LAR 20,0,0,Matthew Stafford pass complete short left to Odell Beckham for 6 yards (tackle by Jamel Dean),,
1,12:04,2,4,LAR 26,0,0,Matthew Stafford pass complete short right to Cam Akers for 9 yards (tackle by Devin White),,
1,11:16,1,10,LAR 35,0,0,Matthew Stafford pass complete short right to Cooper Kupp for 17 yards (tackle by Jordan Whitehead),,
1,10:39,1,10,TAM 48,0,0,"Cam Akers for no gain. Penalty on Brian Allen: Offensive Holding, 10 yards (accepted) (no play)",,
1,10:07,1,20,LAR 42,0,0,Matthew Stafford pass complete short middle to Odell Beckham for 20 yards (tackle by Devin White),,
1,9:34,1,10,TAM 38,0,0,Matthew Stafford pass complete deep middle to Tyler Higbee for 29 yards (tackle by Antoine Winfield),,
1,8:52,1,9,TAM 9,0,0,Cam Akers right guard for 1 yard (tackle by Antoine Winfield and Sean Murphy-Bunting),,
1,8:13,2,8,TAM 8,0,0,Matthew Stafford pass incomplete short middle intended for Cooper Kupp,,
1,8:08,3,8,TAM 8,0,0,Matthew Stafford pass incomplete short right intended for Van Jefferson,,
1,8:04,4,8,TAM 8,3,0,Matt Gay 26 yard field goal good,,
1,8:01,,,LAR 35,3,0,"Matt Gay kicks off 65 yards, touchback.",,
1,8:01,1,10,TAM 25,3,0,Leonard Fournette right tackle for 1 yard (tackle by Greg Gaines and Von Miller),,
1,7:34,2,9,TAM 26,3,0,Tom Brady pass incomplete deep right intended for Rob Gronkowski,,
1,7:30,3,9,TAM 26,3,0,Tom Brady pass incomplete short left intended for Mike Evans (defended by Aaron Donald),,
1,7:26,4,9,TAM 26,3,0,"Bradley Pinion punts 51 yards, returned by Brandon Powell for 6 yards (tackle by Grant Stuard)",,
1,7:15,1,10,LAR 29,3,0,Matthew Stafford pass complete short right to Odell Beckham for 9 yards (tackle by Antoine Winfield),,
1,6:28,2,1,LAR 38,3,0,"Matthew Stafford pass incomplete intended for Van Jefferson. Penalty on Jamel Dean: Defensive Pass Interference, 16 yards (accepted) (no play)",,
1,6:22,1,10,TAM 46,3,0,Matthew Stafford pass complete short middle to Tyler Higbee for 9 yards (tackle by Lavonte David),,
1,5:39,2,1,TAM 37,3,0,Cam Akers up the middle for 4 yards (tackle by Lavonte David),,
1,4:54,1,10,TAM 33,3,0,"Matthew Stafford pass incomplete short right intended for Odell Beckham. Penalty on Ndamukong Suh: Taunting / Defense, 15 yards (accepted)",,
1,4:51,1,10,TAM 18,3,0,Cam Akers left end for 9 yards (tackle by Antoine Winfield),,
1,4:15,2,1,TAM 9,3,0,Matthew Stafford up the middle for 2 yards (tackle by Lavonte David),,
1,3:34,1,7,TAM 7,9,0,"Matthew Stafford pass complete short left to Kendall Blanton for 7 yards, touchdown",,
1,3:28,,,TAM 15,10,0,Matt Gay kicks extra point good,,
1,3:28,,,LAR 35,10,0,"Matt Gay kicks off 64 yards, returned by Jaelon Darden for 24 yards (tackle by Ogbonnia Okoronkwo)",,
1,3:22,1,10,TAM 25,10,0,Tom Brady pass complete short right to Leonard Fournette for 13 yards (tackle by Nick Scott),,
1,2:45,1,10,TAM 38,10,0,Tom Brady pass complete short middle to Rob Gronkowski for 29 yards (tackle by Terrell Burgess and Darious Williams),,
1,2:05,1,10,LAR 33,10,0,Leonard Fournette up the middle for 1 yard (tackle by Aaron Donald),,
1,1:22,2,9,LAR 32,10,0,Tom Brady pass complete short right to Scott Miller for 5 yards (tackle by David Long),,
1,0:40,3,4,LAR 27,10,0,Tom Brady pass incomplete short middle intended for Cameron Brate,,
1,0:37,4,4,LAR 27,10,3,Ryan Succop 45 yard field goal good,,
1,0:32,,,TAM 35,10,3,"Bradley Pinion kicks off 64 yards, out of bounds",,
1,0:32,1,10,LAR 40,10,3,Cam Akers for no gain (tackle by Vita Vea and Jordan Whitehead),,
Quarter,Time,Down,ToGo,Location,LAR,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,LAR 40,10,3,Matthew Stafford sacked by Vita Vea for -10 yards,,
2,14:28,3,20,LAR 30,16,3,"Matthew Stafford pass complete deep right to Cooper Kupp for 70 yards, touchdown",,
2,14:17,,,TAM 15,17,3,Matt Gay kicks extra point good,,
2,14:17,,,LAR 35,17,3,"Penalty on Lavonte David: Unsportsmanlike Conduct / Defense, 15 yards (accepted) (no play)",,
2,14:17,1,10,LAR 50,17,3,"Matt Gay kicks off 40 yards, returned by Jaelon Darden for 4 yards (tackle by Christian Rozeboom)",,
2,14:13,1,10,TAM 14,17,3,Leonard Fournette right tackle for 3 yards (tackle by A'Shawn Robinson),,
2,13:38,2,7,TAM 17,17,3,Tom Brady pass incomplete short left intended for Mike Evans,,
2,13:34,3,7,TAM 17,17,3,Tom Brady pass incomplete short right intended for Mike Evans,,
2,13:30,4,7,TAM 17,17,3,"Bradley Pinion punts 55 yards, returned by Brandon Powell for 21 yards (tackle by Cam Gill and Mike Edwards)",,
2,13:18,1,10,LAR 49,17,3,Cam Akers left end for -3 yards (tackle by Rakeem Nunez-Roches),,
2,12:51,2,13,LAR 46,17,3,Matthew Stafford pass incomplete short right intended for Tyler Higbee (defended by Steve McLendon),,
2,12:47,3,13,LAR 46,17,3,Matthew Stafford pass incomplete short left intended for Odell Beckham,,
2,12:42,4,13,LAR 46,17,3,"Johnny Hekker punts 54 yards, touchback.",,
2,12:32,1,10,TAM 20,17,3,Tom Brady pass incomplete short left intended for Mike Evans,,
2,12:28,2,10,TAM 20,17,3,Tom Brady pass complete short middle to Tyler Johnson for 3 yards (tackle by Troy Reeder),,
2,12:06,3,7,TAM 23,17,3,Tom Brady pass complete short middle to Mike Evans for 9 yards (tackle by David Long and Travin Howard),,
2,11:42,1,10,TAM 32,17,3,Tom Brady pass complete short left to Mike Evans for 4 yards (tackle by Jalen Ramsey and Eric Weddle),,
2,11:20,2,6,TAM 36,17,3,Tom Brady pass incomplete short left intended for Tyler Johnson,,
2,11:15,3,6,TAM 36,17,3,Tom Brady pass complete short left to Mike Evans for 21 yards (tackle by Nick Scott and Eric Weddle),,
2,10:39,1,10,LAR 43,17,3,"Tom Brady pass complete short left to Mike Evans for 8 yards (tackle by Jalen Ramsey and Travin Howard). Penalty on Tom Brady: Unsportsmanlike Conduct / Offense, 15 yards (accepted)",,
2,10:18,2,18,TAM 50,17,3,Tom Brady pass complete short right to Leonard Fournette for 19 yards (tackle by David Long),,
2,9:41,1,10,LAR 31,17,3,Tom Brady pass complete short right to Leonard Fournette for 1 yard (tackle by Eric Weddle and Leonard Floyd),,
2,9:13,2,9,LAR 30,17,3,Tom Brady pass incomplete short middle intended for Tyler Johnson,,
2,9:09,3,9,LAR 30,17,3,Tom Brady pass incomplete short right intended for Giovani Bernard,,
2,9:04,4,9,LAR 30,17,3,Ryan Succop 48 yard field goal no good,,
2,9:00,1,10,LAR 38,17,3,Cam Akers up the middle for 1 yard (tackle by Lavonte David and Shaquil Barrett),,
2,8:30,2,9,LAR 39,17,3,Matthew Stafford pass complete short left to Cam Akers for 6 yards (tackle by Devin White and Lavonte David),,
2,7:45,3,3,LAR 45,17,3,Matthew Stafford pass complete short left to Cam Akers for 5 yards (tackle by Jamel Dean and Devin White),,
2,6:57,1,10,LAR 50,17,3,Cam Akers right tackle for 2 yards (tackle by Ndamukong Suh),,
2,6:31,2,8,TAM 48,17,3,Matthew Stafford scrambles up the middle for 3 yards (tackle by Devin White),,
2,5:45,,,,,,Timeout #1 by Los Angeles Rams,,
2,5:45,3,5,TAM 45,17,3,Matthew Stafford pass complete short middle to Tyler Higbee for 6 yards (tackle by Lavonte David),,
2,5:00,1,10,TAM 39,17,3,Matthew Stafford pass complete short left to Cooper Kupp for 4 yards (tackle by Sean Murphy-Bunting),,
2,4:29,2,6,TAM 35,17,3,Matthew Stafford pass complete short left to Odell Beckham for 7 yards (tackle by Jamel Dean),,
2,3:42,1,10,TAM 28,17,3,Matthew Stafford pass incomplete short left,,
2,3:35,2,10,TAM 28,17,3,Matthew Stafford pass complete short left to Sony Michel for -4 yards (tackle by Lavonte David),,
2,2:53,,,,,,Timeout #2 by Los Angeles Rams,,
2,2:53,3,14,TAM 32,17,3,Matthew Stafford pass complete short right to Cooper Kupp for 11 yards (tackle by Devin White and Antoine Winfield),,
2,2:23,4,3,TAM 21,20,3,Matt Gay 40 yard field goal good,,
2,2:19,,,LAR 35,20,3,"Matt Gay kicks off 64 yards, returned by Jaelon Darden for 14 yards (tackle by Grant Haley)",,
2,2:13,1,10,TAM 15,20,3,Tom Brady sacked by Aaron Donald for -7 yards,,
2,2:00,2,17,TAM 8,20,3,Tom Brady pass deep right intended for Rob Gronkowski is intercepted by Nick Scott at TB-31 and returned for no gain,,
2,1:53,1,10,TAM 31,20,3,Cam Akers right end for 7 yards (tackle by Carlton Davis and Sean Murphy-Bunting),,
2,1:39,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,1:39,2,3,TAM 24,20,3,Matthew Stafford pass complete short right to Tyler Higbee for 7 yards (tackle by Lavonte David),,
2,1:10,1,10,TAM 17,20,3,Matthew Stafford pass complete short right to Van Jefferson for 11 yards (tackle by Sean Murphy-Bunting),,
2,1:05,1,6,TAM 6,20,3,Cam Akers up the middle for no gain (tackle by Ndamukong Suh),,
2,0:24,2,6,TAM 6,20,3,"Cam Akers for no gain (tackle by Antoine Winfield) Replay Assistant challenged the fumble ruling, and the original play was overturned. Cam Akers right end for 5 yards. Cam Akers fumbles (forced by Antoine Winfield), recovered by Antoine Winfield at TB-1 (tackle by Antoine Winfield)",,
2,0:19,1,10,TAM 1,20,3,Tom Brady kneels for no gain,,
Quarter,Time,Down,ToGo,Location,LAR,TAM,Detail,EPB,EPA
