Quarter,Time,Tm,Detail,LAR,TAM
1.0,8:01,Rams,Matt Gay 26 yard field goal,3,0
,3:28,Rams,Kendall Blanton 7 yard pass from Matthew Stafford (Matt Gay kick),10,0
,0:32,Buccaneers,Ryan Succop 45 yard field goal,10,3
2.0,14:17,Rams,Cooper Kupp 70 yard pass from Matthew Stafford (Matt Gay kick),17,3
,2:19,Rams,Matt Gay 40 yard field goal,20,3
3.0,7:07,Rams,Matthew Stafford 1 yard rush (Matt Gay kick),27,3
,3:02,Buccaneers,Ryan Succop 31 yard field goal,27,6
,0:12,Buccaneers,Leonard Fournette 1 yard rush (Ryan Succop kick),27,13
4.0,3:20,Buccaneers,Mike Evans 55 yard pass from Tom Brady (Ryan Succop kick),27,20
,0:42,Buccaneers,Leonard Fournette 9 yard rush (Ryan Succop kick),27,27
,0:00,Rams,Matt Gay 30 yard field goal,30,27
