Unnamed: 0,TAM,NOR
First Downs,18,21
Rush-Yds-TDs,35-139-1,27-104-2
Cmp-Att-Yd-TD-INT,14-21-207-1-0,24-38-255-1-1
Sacked-Yards,3-13,4-36
Net Pass Yards,194,219
Total Yards,333,323
Fumbles-Lost,2-2,5-2
Turnovers,2,3
Penalties-Yards,11-90,10-115
Third Down Conv.,5-14,7-14
Fourth Down Conv.,0-0,1-1
Time of Possession,28:32,31:28
