Quarter,Time,Tm,Detail,BAL,IND
1.0,9:44,Colts,Adam Vinatieri 38 yard field goal,0,3
2.0,0:35,Colts,Adam Vinatieri 34 yard field goal,0,6
,0:00,Ravens,Justin Tucker 52 yard field goal,3,6
3.0,10:33,Colts,Dwayne Allen 6 yard pass from Andrew Luck (Adam Vinatieri kick),3,13
4.0,13:56,Ravens,Justin Tucker 27 yard field goal,6,13
,8:56,Colts,Andrew Luck 13 yard rush (Adam Vinatieri kick),6,20
,7:16,Ravens,Justin Forsett 11 yard rush (Justin Tucker kick),13,20
