Unnamed: 0,GNB,PIT
First Downs,17,21
Rush-Yds-TDs,24-116-0,36-205-2
Cmp-Att-Yd-TD-INT,21-40-289-2-2,14-23-126-0-0
Sacked-Yards,1-6,1-7
Net Pass Yards,283,119
Total Yards,399,324
Fumbles-Lost,2-0,0-0
Turnovers,2,0
Penalties-Yards,5-32,3-27
Third Down Conv.,8-16,4-13
Fourth Down Conv.,2-2,1-1
Time of Possession,29:27,30:33
