Quarter,Time,Down,ToGo,Location,GNB,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Anders Carlson kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,PIT 25,0,0,Najee Harris right guard for 5 yards (tackle by Jonathan Owens),0.610,0.740
1,14:30,2,5,PIT 30,0,0,Kenny Pickett pass complete short left to George Pickens for 5 yards (tackle by Corey Ballentine),0.740,1.270
1,13:59,1,10,PIT 35,0,0,Kenny Pickett pass complete short right to Connor Heyward for 13 yards (tackle by Carrington Valentine),1.270,2.130
1,13:26,1,10,PIT 48,0,0,Najee Harris right guard for no gain (tackle by Kenny Clark and Tedarrell Slaton),2.130,1.580
1,12:49,2,10,PIT 48,0,0,Najee Harris up the middle for 7 yards (tackle by Rudy Ford),1.580,1.820
1,12:10,3,3,GNB 45,0,0,"Kenny Pickett pass incomplete deep right. Penalty on Carrington Valentine: Defensive Pass Interference, 17 yards (accepted) (no play)",1.820,3.710
1,12:04,1,10,GNB 28,0,0,Jaylen Warren left guard for 12 yards (tackle by Keisean Nixon and Jonathan Owens),3.710,4.510
1,11:22,1,10,GNB 16,0,0,Kenny Pickett pass complete short right to Jaylen Warren for 6 yards (tackle by Lukas Van Ness),4.510,4.970
1,10:39,2,4,GNB 10,0,0,Najee Harris left guard for 6 yards (tackle by Jonathan Owens),4.970,6.280
1,10:05,1,4,GNB 4,0,6,"Najee Harris up the middle for 4 yards, touchdown",6.280,7.000
1,10:01,,,GNB 15,0,7,Chris Boswell kicks extra point good,0.000,0.000
1,10:01,,,PIT 35,0,7,"Chris Boswell kicks off 70 yards, returned by Keisean Nixon for 36 yards (tackle by James Pierre)",0.000,1.000
1,9:55,1,10,GNB 31,0,7,Jordan Love pass complete short right to Christian Watson for 9 yards,1.000,1.680
1,9:27,2,1,GNB 40,0,7,Aaron Jones left tackle for -2 yards (tackle by Elandon Roberts),1.680,0.700
1,8:44,3,3,GNB 38,0,7,Jordan Love pass complete short middle to Christian Watson for 14 yards (tackle by Joey Porter),0.700,2.390
1,8:09,1,10,PIT 48,0,7,AJ Dillon left tackle for 3 yards (tackle by T.J. Watt),2.390,2.250
1,7:34,2,7,PIT 45,0,7,Jordan Love pass complete deep middle to Dontayvion Wicks for 23 yards (tackle by Keanu Neal),2.250,4.110
1,6:54,1,10,PIT 22,0,7,Jordan Love pass complete short left to Tucker Kraft for 6 yards (tackle by T.J. Watt),4.110,4.460
1,6:19,2,4,PIT 16,0,7,AJ Dillon left tackle for 5 yards (tackle by Damontae Kazee and Keanu Neal),4.460,4.840
1,5:34,1,10,PIT 11,0,7,AJ Dillon left guard for 3 yards (tackle by Keeanu Benton),4.840,4.700
1,4:52,2,7,PIT 8,0,7,Jordan Love pass incomplete short right intended for Christian Watson,4.700,3.760
1,4:47,3,7,PIT 8,6,7,"Jordan Love pass complete short right to Romeo Doubs for 8 yards, touchdown",3.760,7.000
1,4:42,,,PIT 15,7,7,Anders Carlson kicks extra point good,0.000,0.000
1,4:42,,,GNB 35,7,7,"Anders Carlson kicks off 60 yards, out of bounds",0.000,1.600
1,4:42,1,10,PIT 40,7,7,Kenny Pickett pass complete short right to Darnell Washington for 6 yards (tackle by Isaiah McDuffie),1.600,1.860
1,4:05,2,4,PIT 46,7,7,Jaylen Warren right tackle for 3 yards (tackle by Rudy Ford and Tedarrell Slaton),1.860,1.550
1,3:30,3,1,PIT 49,7,7,Kenny Pickett up the middle for 1 yard (tackle by Devonte Wyatt and De'Vondre Campbell),1.550,2.260
1,2:40,1,10,GNB 50,7,7,Jaylen Warren right tackle for 9 yards (tackle by De'Vondre Campbell),2.260,2.930
1,2:00,2,1,GNB 41,7,7,"Kenny Pickett pass short right intended for Diontae Johnson is intercepted by Keisean Nixon at GB-30 and returned for no gain Replay Assistant challenged the pass interception ruling, and the original play was overturned. Kenny Pickett pass incomplete short right intended for Diontae Johnson (defended by Keisean Nixon)",2.930,2.210
1,1:55,3,1,GNB 41,7,7,Najee Harris left tackle for 11 yards (tackle by Corey Ballentine and De'Vondre Campbell),2.210,3.580
1,1:21,1,10,GNB 30,7,7,Kenny Pickett pass complete short left to Calvin Austin for 3 yards (tackle by Preston Smith),3.580,3.440
1,0:54,2,7,GNB 27,7,7,Najee Harris up the middle for 4 yards (tackle by Keisean Nixon),3.440,3.270
1,0:16,3,3,GNB 23,7,7,Kenny Pickett pass complete short right to Jaylen Warren for 3 yards (tackle by Isaiah McDuffie),3.270,4.240
Quarter,Time,Down,ToGo,Location,GNB,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,GNB 20,7,7,Jaylen Warren up the middle for -1 yards (tackle by Lukas Van Ness),4.240,3.560
2,14:17,2,11,GNB 21,7,7,"Kenny Pickett pass incomplete deep left intended for Diontae Johnson. Penalty on Keisean Nixon: Defensive Holding, 5 yards (accepted) (no play)",3.560,4.510
2,14:17,1,10,GNB 16,7,13,"Jaylen Warren right guard for 16 yards, touchdown",4.510,7.000
2,14:12,,,GNB 15,7,14,Chris Boswell kicks extra point good,0.000,0.000
2,14:12,,,PIT 35,7,14,"Chris Boswell kicks off 56 yards, returned by Keisean Nixon for 14 yards (tackle by Rodney Williams)",0.000,0.480
2,14:07,1,10,GNB 23,7,14,Aaron Jones left end for 2 yards (tackle by T.J. Watt and Elandon Roberts),0.480,0.200
2,13:27,2,8,GNB 25,7,14,Jordan Love pass incomplete short middle intended for Tucker Kraft (defended by Keeanu Benton),0.200,-0.490
2,13:22,3,8,GNB 25,7,14,Jordan Love pass incomplete short right intended for Christian Watson,-0.490,-1.700
2,13:18,4,8,GNB 25,7,14,"Daniel Whelan punts 43 yards, returned by Calvin Austin for 14 yards (tackle by Josiah Deguara)",-1.700,-1.990
2,13:06,1,10,PIT 46,7,14,"Kenny Pickett sacked by Tedarrell Slaton for no gain. Penalty on Jonathan Owens: Illegal Contact, 5 yards (accepted) (no play)",1.990,2.320
2,12:41,1,10,GNB 49,7,14,Kenny Pickett scrambles left end for 4 yards (tackle by Rudy Ford),2.320,2.320
2,12:00,2,6,GNB 45,7,14,Najee Harris right tackle for 5 yards (tackle by Rudy Ford),2.320,2.280
2,11:34,3,1,GNB 40,7,14,Kenny Pickett up the middle for no gain (tackle by Isaiah McDuffie and Preston Smith),2.280,0.590
2,10:50,4,1,GNB 40,7,14,Jaylen Warren left end for 8 yards (tackle by Isaiah McDuffie),0.590,3.450
2,10:07,1,10,GNB 32,7,14,Kenny Pickett sacked by Preston Smith for -7 yards,3.450,1.960
2,9:25,2,17,GNB 39,7,14,Najee Harris left guard for 3 yards (tackle by Tedarrell Slaton and Rashan Gary),1.960,1.690
2,8:44,3,14,GNB 36,7,14,Kenny Pickett pass complete short right to Connor Heyward for 12 yards (tackle by Jonathan Owens),1.690,1.990
2,8:12,,,,,,Timeout #1 by Pittsburgh Steelers,,
2,8:12,4,2,GNB 24,7,17,Chris Boswell 42 yard field goal good,1.990,3.000
2,8:08,,,PIT 35,7,17,"Chris Boswell kicks off 63 yards, returned by Keisean Nixon for 11 yards (tackle by Tariq Carpenter and Miles Boykin)",0.000,-0.320
2,8:02,1,10,GNB 13,7,17,"Jordan Love pass incomplete intended for Christian Watson. Penalty on Joey Porter: Defensive Pass Interference, 7 yards (accepted) (no play)",-0.320,0.280
2,7:59,1,10,GNB 20,7,17,Jordan Love scrambles right end for 3 yards (tackle by T.J. Watt),0.280,0.140
2,7:14,2,7,GNB 23,7,17,Aaron Jones left guard for 6 yards (tackle by Keeanu Benton and Damontae Kazee),0.140,0.230
2,6:34,3,1,GNB 29,7,17,Aaron Jones left end for 2 yards (tackle by Mark Robinson),0.230,1.000
2,5:54,1,10,GNB 31,7,17,AJ Dillon left guard for 40 yards (tackle by Keanu Neal),1.000,3.640
2,5:10,1,10,PIT 29,7,17,Jordan Love sacked by T.J. Watt for -6 yards,3.640,2.290
2,4:27,2,16,PIT 35,7,17,Jordan Love pass incomplete short right intended for Dontayvion Wicks,2.290,1.620
2,4:21,3,16,PIT 35,13,17,"Jordan Love pass complete deep left to Jayden Reed for 35 yards, touchdown",1.620,7.000
2,4:14,,,PIT 15,13,17,Anders Carlson kicks extra point blocked blocked by Patrick Peterson,0.000,-1.000
2,4:14,,,GNB 35,13,17,"Anders Carlson kicks off 66 yards, returned by Anthony McFarland for 13 yards (tackle by Innis Gaines)",0.000,-0.220
2,4:07,1,10,PIT 15,13,17,Najee Harris left tackle for 1 yard (tackle by Corey Ballentine and Rashan Gary),-0.220,-0.580
2,3:34,2,9,PIT 16,13,17,"Kenny Pickett pass incomplete short right intended for Jaylen Warren GNB challenged the backward pass ruling, and the play was upheld.",-0.580,-1.250
2,3:30,3,9,PIT 16,13,17,Kenny Pickett pass incomplete short right intended for Connor Heyward (defended by Jonathan Owens),-1.250,-2.390
2,3:24,4,9,PIT 16,13,17,"Pressley Harvin punts 50 yards, returned by Keisean Nixon for 12 yards (tackle by James Pierre)",-2.390,-1.990
2,3:12,1,10,GNB 46,13,17,Jordan Love pass incomplete deep right intended for Romeo Doubs,1.990,1.450
2,3:06,2,10,GNB 46,13,17,Aaron Jones up the middle for 6 yards (tackle by Alex Highsmith and Elandon Roberts),1.450,1.550
2,2:45,3,4,PIT 48,13,17,Jordan Love pass incomplete short left intended for Aaron Jones,1.550,0.070
2,2:42,4,3,PIT 48,13,17,"Daniel Whelan punts 39 yards, fair catch by Calvin Austin at PIT-9",0.070,0.380
2,2:35,1,10,PIT 9,13,17,Kenny Pickett pass complete short left to Diontae Johnson for 17 yards (tackle by Corey Ballentine),-0.380,0.670
2,2:07,1,10,PIT 26,13,17,Kenny Pickett pass complete short left to George Pickens for 12 yards (tackle by Rudy Ford),0.670,1.470
2,2:00,1,10,PIT 38,13,17,Kenny Pickett pass complete short left to Najee Harris for 6 yards (tackle by Isaiah McDuffie and Rudy Ford),1.470,1.730
2,1:40,2,4,PIT 44,13,17,Najee Harris up the middle for 2 yards (tackle by Isaiah McDuffie),1.730,1.290
2,1:31,,,,,,Timeout #2 by Pittsburgh Steelers,,
2,1:31,3,2,PIT 46,13,17,Kenny Pickett pass incomplete short left intended for Diontae Johnson (defended by Corey Ballentine),1.290,-0.320
2,1:26,4,2,PIT 46,13,17,"Pressley Harvin punts 39 yards, fair catch by Jayden Reed at GB-15",-0.320,0.220
2,1:20,1,10,GNB 15,13,17,Jordan Love pass complete short left to Jayden Reed for -5 yards (tackle by Joey Porter),-0.220,-1.150
2,0:46,2,15,GNB 10,13,17,Aaron Jones up the middle for 9 yards (tackle by Keanu Neal and Keeanu Benton),-1.150,-0.880
Quarter,Time,Down,ToGo,Location,GNB,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,PIT 35,13,17,"Chris Boswell kicks off 58 yards, returned by Keisean Nixon for 49 yards (tackle by James Pierre)",0.000,2.650
3,14:51,1,10,PIT 44,13,17,Aaron Jones left guard for 3 yards (tackle by Larry Ogunjobi and Mark Robinson),2.650,2.520
3,14:14,2,7,PIT 41,13,17,Aaron Jones left guard for 1 yard (tackle by T.J. Watt and Keanu Neal),2.520,1.950
3,13:32,3,6,PIT 40,13,17,"Jordan Love pass incomplete short middle intended for Dontayvion Wicks. Penalty on Damontae Kazee: Defensive Pass Interference, 15 yards (offset) . Penalty on Zach Tom: Offensive Holding, 10 yards (offset) (no play)",1.950,1.950
3,13:27,3,6,PIT 40,13,17,Jordan Love pass incomplete short middle intended for Romeo Doubs,1.950,0.590
3,13:22,4,6,PIT 40,13,17,Jordan Love pass complete short right to Aaron Jones for 7 yards (tackle by Joey Porter),0.590,3.380
3,12:44,1,10,PIT 33,13,17,AJ Dillon right guard for 3 yards (tackle by Isaiahh Loudermilk and Keeanu Benton),3.380,3.240
3,12:03,2,7,PIT 30,13,17,AJ Dillon right tackle for 4 yards (tackle by T.J. Watt),3.240,3.070
3,11:22,3,3,PIT 26,13,17,Jordan Love pass complete short left to Aaron Jones for 12 yards (tackle by Elandon Roberts),3.070,4.650
3,10:40,1,10,PIT 14,13,17,Aaron Jones up the middle for 1 yard (tackle by Cameron Heyward),4.650,4.160
3,10:00,2,9,PIT 13,13,17,Jordan Love pass complete short right to Aaron Jones for no gain (tackle by Keeanu Benton),4.160,3.260
3,9:16,3,9,PIT 13,13,17,Jordan Love pass incomplete short middle intended for Luke Musgrave,3.260,2.570
3,9:11,4,9,PIT 13,16,17,Anders Carlson 31 yard field goal good,2.570,3.000
3,9:08,,,GNB 35,16,17,"Anders Carlson kicks off 66 yards, returned by Anthony McFarland for 23 yards (tackle by Kristian Welch and Eric Wilson)",0.000,0.410
3,9:04,1,10,PIT 22,16,17,Najee Harris right guard for 3 yards (tackle by Tedarrell Slaton),0.410,0.270
