Unnamed: 0,CHI,NYG
First Downs,6,18
Rush-Yds-TDs,16-59-0,32-189-2
Cmp-Att-Yd-TD-INT,15-26-114-0-2,18-30-195-0-0
Sacked-Yards,10-63,2-12
Net Pass Yards,51,183
Total Yards,110,372
Fumbles-Lost,3-1,3-3
Turnovers,3,3
Penalties-Yards,8-40,6-44
Third Down Conv.,0-13,3-12
Fourth Down Conv.,0-1,0-0
Time of Possession,26:35,33:25
