Quarter,Time,Tm,Detail,SFO,NOR
1.0,7:22,49ers,Joe Nedney 47 yard field goal,3,0
2.0,9:31,Saints,Lance Moore 5 yard pass from Drew Brees (Martin Gramatica kick),3,7
,3:00,Saints,Lance Moore 33 yard pass from Drew Brees (Martin Gramatica kick),3,14
,1:44,49ers,Joe Nedney 49 yard field goal,6,14
,0:52,Saints,Robert Meachem 47 yard pass from Drew Brees (Martin Gramatica kick),6,21
3.0,10:18,49ers,Joe Nedney 38 yard field goal,9,21
4.0,11:23,Saints,Deuce McAllister 1 yard rush (Martin Gramatica kick),9,28
,4:08,49ers,Isaac Bruce 5 yard pass from J.T. O'Sullivan (two point pass successful),17,28
,0:27,Saints,Martin Gramatica 31 yard field goal,17,31
