Unnamed: 0,SFO,NOR
First Downs,20,24
Rush-Yds-TDs,19-91-0,32-104-1
Cmp-Att-Yd-TD-INT,18-36-257-1-2,23-35-363-3-1
Sacked-Yards,6-36,0-0
Net Pass Yards,221,363
Total Yards,312,467
Fumbles-Lost,1-1,1-1
Turnovers,3,2
Penalties-Yards,9-63,13-123
Third Down Conv.,3-10,6-11
Fourth Down Conv.,1-1,0-1
Time of Possession,27:05,32:55
