Quarter,Time,Tm,Detail,KAN,OAK
1.0,12:11,Chiefs,Travis Kelce 3 yard pass from Patrick Mahomes (Harrison Butker kick),7,0
,7:42,Chiefs,Harrison Butker 29 yard field goal,10,0
2.0,7:02,Chiefs,Harrison Butker 50 yard field goal,13,0
,1:04,Raiders,Doug Martin 1 yard rush (Daniel Carlson kick),13,7
,0:07,Chiefs,Travis Kelce 6 yard pass from Patrick Mahomes (Harrison Butker kick failed),19,7
3.0,11:06,Raiders,Daniel Carlson 50 yard field goal,19,10
,5:48,Chiefs,Spencer Ware 1 yard rush (Harrison Butker kick),26,10
,3:28,Raiders,Jared Cook 24 yard pass from Derek Carr (run failed),26,16
,0:04,Chiefs,Demetrius Harris 13 yard pass from Patrick Mahomes (Harrison Butker kick),33,16
4.0,10:41,Raiders,Lee Smith 1 yard pass from Derek Carr (Daniel Carlson kick),33,23
,6:46,Raiders,Marcell Ateman 9 yard pass from Derek Carr (Daniel Carlson kick),33,30
,1:54,Chiefs,Chris Conley 2 yard pass from Patrick Mahomes (Harrison Butker kick),40,30
,0:30,Raiders,Daniel Carlson 44 yard field goal,40,33
