Unnamed: 0,CAR,TAM
First Downs,15,15
Rush-Yds-TDs,34-133-2,28-128-2
Cmp-Att-Yd-TD-INT,15-31-178-0-1,14-29-202-1-1
Sacked-Yards,4-29,1-8
Net Pass Yards,149,194
Total Yards,282,322
Fumbles-Lost,2-0,0-0
Turnovers,1,1
Penalties-Yards,7-62,5-36
Third Down Conv.,3-15,6-15
Fourth Down Conv.,1-3,0-0
Time of Possession,33:42,26:18
