Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 69 yards, returned by Percy Harvin for 29 yards (tackle by Turk McBride)",0.000,0.940
1,14:55,1,10,MIN 30,0,0,Percy Harvin left end for 7 yards (tackle by Julian Peterson),0.940,1.340
1,14:14,2,3,MIN 37,0,0,Brett Favre pass complete short right to Bernard Berrian for 12 yards (tackle by Will Peterson),1.340,2.190
1,13:30,1,10,MIN 49,0,0,Brett Favre pass complete short right to Visanthe Shiancoe for 13 yards (tackle by DeAndre Levy),2.190,3.050
1,12:52,1,10,DET 38,0,0,Chester Taylor left guard for 3 yards (tackle by Larry Foote and Will Peterson),3.050,2.910
1,12:10,2,7,DET 35,0,0,Adrian Peterson right end for 4 yards (tackle by Ko Simpson),2.910,2.740
1,11:28,3,3,DET 31,0,0,Brett Favre pass complete short right to Sidney Rice for 20 yards (tackle by Ko Simpson). Penalty on Andre Fluellen: Defensive Offside (Declined),2.740,4.840
1,11:06,1,10,DET 11,0,0,Adrian Peterson right tackle for 8 yards (tackle by Marquand Manuel and Julian Peterson),4.840,5.660
1,10:28,2,2,DET 3,0,0,"Penalty on Jim Kleinsasser: False Start, 5 yards (no play)",5.660,4.700
1,10:02,2,7,DET 8,0,0,Brett Favre pass incomplete short middle intended for Bernard Berrian (defended by Will Peterson),4.700,3.760
1,9:59,3,7,DET 8,0,0,Adrian Peterson right guard for 4 yards (tackle by Jason Hunter and Ko Simpson),3.760,3.030
1,9:21,4,3,DET 4,0,3,Ryan Longwell 22 yard field goal good,3.030,3.000
1,,,,MIN 30,0,3,"Ryan Longwell kicks off 72 yards, returned by Derrick Williams for 28 yards (tackle by Jasper Brinkley)",0.000,0.670
1,9:13,1,10,DET 26,0,3,Matthew Stafford pass complete short left to Jerome Felton for 2 yards (tackle by E.J. Henderson),0.670,0.400
1,8:42,2,8,DET 28,0,3,Kevin Smith left guard for 12 yards (tackle by Madieu Williams),0.400,1.600
1,8:06,1,10,DET 40,0,3,Matthew Stafford pass incomplete short middle intended for Bryant Johnson,1.600,1.050
1,8:01,2,10,DET 40,0,3,Kevin Smith right guard for 7 yards (tackle by Benny Sapp),1.050,1.290
1,7:17,3,3,DET 47,0,3,Matthew Stafford pass complete short middle to Calvin Johnson for 7 yards (tackle by Karl Paymah),1.290,2.520
1,6:42,1,10,MIN 46,0,3,Matthew Stafford pass incomplete short right intended for Jerome Felton,2.520,1.980
1,6:35,2,10,MIN 46,0,3,Matthew Stafford pass incomplete short right intended for Calvin Johnson,1.980,1.290
1,6:31,3,10,MIN 46,0,3,Matthew Stafford pass complete short left to Derrick Williams for 6 yards (tackle by Benny Sapp),1.290,0.590
1,5:50,4,4,MIN 40,0,3,"Nick Harris punts 35 yards. Penalty on Brian Robison: Defensive Offside, 5 yards (no play)",0.590,3.250
1,5:41,1,10,MIN 35,0,3,Kevin Smith right end for -3 yards (tackle by E.J. Henderson),3.250,2.300
1,4:58,2,13,MIN 38,0,3,Matthew Stafford middle for 1 yard (tackle by Pat Williams and Chad Greenway),2.300,1.750
1,4:16,3,12,MIN 37,0,3,Kevin Smith middle for 7 yards (tackle by E.J. Henderson and Kevin Williams),1.750,1.450
1,3:35,4,5,MIN 30,0,3,Jason Hanson 48 yard field goal no good,1.450,-1.470
1,3:30,1,10,MIN 38,0,3,Brett Favre pass complete short right to Sidney Rice for 9 yards (tackle by Will Peterson),1.470,2.140
1,2:53,2,1,MIN 47,0,3,Adrian Peterson left tackle for 2 yards (tackle by Grady Jackson and Sammie Lee Hill),2.140,2.190
1,2:11,1,10,MIN 49,0,3,Brett Favre pass complete deep left to Sidney Rice for 21 yards (tackle by Phillip Buchanon),2.190,3.580
1,1:22,1,10,DET 30,0,3,Adrian Peterson middle for 13 yards (tackle by Ko Simpson),3.580,4.440
1,0:37,1,10,DET 17,0,3,"Adrian Peterson for no gain. Adrian Peterson fumbles, recovered by Sammie Lee Hill at DET-29",4.440,-0.870
1,0:30,1,10,DET 29,0,3,"Matthew Stafford for 6 yards. Penalty on Brandon Pettigrew: Unnecessary Roughness, 15 yards",0.870,-0.890
1,0:07,2,19,DET 20,0,3,Matthew Stafford pass incomplete short right intended for Brandon Pettigrew,-0.890,-1.550
1,0:03,3,19,DET 20,0,3,Kevin Smith middle for 6 yards (tackle by Chad Greenway and Kevin Williams),-1.550,-1.630
Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,13,DET 26,0,3,"Nick Harris punts 39 yards, returned by Darius Reynaud for 30 yards (tackle by Marvin White). Penalty on Eric Frampton: Illegal Block Above the , 10 yards",-1.630,-0.610
2,14:47,1,10,MIN 25,0,3,Adrian Peterson right guard for 3 yards (tackle by Turk McBride),0.610,0.470
2,14:05,2,7,MIN 28,0,3,"Brett Favre pass incomplete short right intended for Chester Taylor. Penalty on Anthony Herrera: Offensive Holding, 10 yards (no play)",0.470,-0.980
2,13:59,2,17,MIN 18,0,3,Brett Favre pass incomplete deep right intended for Bernard Berrian,-0.980,-1.720
2,13:55,3,17,MIN 18,0,3,Brett Favre sacked by Joe Cohen for -4 yards. Penalty on Phil Loadholt: Illegal Use of Hands (Declined),-1.720,-2.470
2,13:43,4,21,MIN 14,0,3,"Chris Kluwe punts 58 yards, returned by Dennis Northcutt for 10 yards (tackle by Jamarca Sanford)",-2.470,-1.470
