Unnamed: 0,DET,MIN
First Downs,19,19
Rush-Yds-TDs,22-93-0,31-152-2
Cmp-Att-Yd-TD-INT,29-51-224-1-0,20-31-344-1-0
Sacked-Yards,3-20,1-4
Net Pass Yards,204,340
Total Yards,297,492
Fumbles-Lost,2-1,2-2
Turnovers,1,2
Penalties-Yards,4-40,13-91
Third Down Conv.,6-17,3-11
Fourth Down Conv.,0-2,0-1
Time of Possession,29:37,30:23
