Unnamed: 0,ARI,DET
First Downs,21,16
Rush-Yds-TDs,20-95-0,23-66-0
Cmp-Att-Yd-TD-INT,28-46-358-3-1,17-30-195-4-0
Sacked-Yards,2-19,0-0
Net Pass Yards,339,195
Total Yards,434,261
Fumbles-Lost,3-2,0-0
Turnovers,3,0
Penalties-Yards,12-80,6-36
Third Down Conv.,9-15,6-13
Fourth Down Conv.,0-1,1-1
Time of Possession,34:06,25:54
