Quarter,Time,Tm,Detail,ARI,DET
1.0,5:48,Cardinals,Anquan Boldin 7 yard pass from Jeff Blake (Bill Gramatica kick),7,0
,2:00,Lions,Charles Rogers 4 yard pass from Joey Harrington (Jason Hanson kick),7,7
2.0,11:27,Lions,Charles Rogers 13 yard pass from Joey Harrington (Jason Hanson kick),7,14
,5:35,Cardinals,Freddie Jones 12 yard pass from Jeff Blake (Bill Gramatica kick),14,14
3.0,13:59,Cardinals,Anquan Boldin 71 yard pass from Jeff Blake (Bill Gramatica kick),21,14
,8:21,Lions,Eddie Drummond 57 yard punt return (Jason Hanson kick),21,21
,3:12,Lions,Cory Schlesinger 8 yard pass from Joey Harrington (Jason Hanson kick),21,28
,0:44,Cardinals,Bill Gramatica 38 yard field goal,24,28
4.0,11:43,Lions,Bill Schroeder 5 yard pass from Joey Harrington (Jason Hanson kick),24,35
,10:50,Lions,Dre' Bly 48 yard interception return (Jason Hanson kick),24,42
