Quarter,Time,Tm,Detail,NWE,CHI
1.0,11:00,Patriots,Julian Edelman 9 yard pass from Tom Brady (Stephen Gostkowski kick),7,0
,3:50,Bears,Cody Parkey 46 yard field goal,7,3
,0:59,Bears,Mitchell Trubisky 8 yard rush (Cody Parkey kick),7,10
2.0,11:05,Bears,Jordan Howard 2 yard rush (Cody Parkey kick),7,17
,10:48,Patriots,Cordarrelle Patterson 95 yard kickoff return (Stephen Gostkowski kick),14,17
,3:58,Patriots,James White 5 yard pass from Tom Brady (Stephen Gostkowski kick),21,17
3.0,12:04,Bears,Tarik Cohen 6 yard pass from Mitchell Trubisky (Cody Parkey kick),21,24
,7:48,Patriots,Stephen Gostkowski 29 yard field goal,24,24
,5:53,Patriots,Kyle Van Noy 29 yard blocked punt return (Stephen Gostkowski kick),31,24
4.0,8:40,Patriots,James White 2 yard pass from Tom Brady (Stephen Gostkowski kick),38,24
,4:13,Bears,Trey Burton 11 yard pass from Mitchell Trubisky (Cody Parkey kick),38,31
