Quarter,Time,Down,ToGo,Location,NWE,CHI,Detail,EPB,EPA
2,12:49,4,4,NWE 30,7,10,Mitchell Trubisky pass complete short middle to Trey Burton for 17 yards (tackle by Patrick Chung). Penalty on J.C. Jackson: Illegal Use of Hands (Declined),1.460,4.710
2,12:18,1,10,NWE 13,7,10,Mitchell Trubisky pass incomplete short middle intended for Anthony Miller,4.710,4.050
2,12:14,2,10,NWE 13,7,10,"Mitchell Trubisky pass incomplete short left intended for Tarik Cohen. Penalty on Duron Harmon: Defensive Holding, 5 yards (no play)",4.050,5.370
2,12:07,1,8,NWE 8,7,10,Mitchell Trubisky pass incomplete short left intended for Tarik Cohen,5.370,4.570
2,12:03,2,8,NWE 8,7,10,Jordan Howard left guard for 3 yards (tackle by Danny Shelton),4.570,4.260
2,11:18,3,5,NWE 5,7,10,"Mitchell Trubisky pass incomplete short left intended for Kevin White. Penalty on J.C. Jackson: Illegal Use of Hands, 3 yards (no play)",4.260,6.740
2,11:14,1,2,NWE 2,7,10,Mitchell Trubisky pass incomplete short right intended for Bradley Sowell (defended by Elandon Roberts),6.740,5.720
2,11:07,2,2,NWE 2,7,16,"Jordan Howard left guard for 2 yards, touchdown",5.720,7.000
2,11:05,,,NWE 15,7,17,Cody Parkey kicks extra point good,0.000,0.000
2,11:05,,,CHI 35,13,17,"Cody Parkey kicks off 60 yards, returned by Cordarrelle Patterson for no gain, touchdown",0.000,7.000
2,10:48,,,CHI 15,14,17,Stephen Gostkowski kicks extra point good,0.000,0.000
2,10:48,,,NWE 35,14,17,"Penalty on NWE: Delay of Game, 5 yards (no play)",0.000,0.000
2,10:48,,,NWE 30,14,17,"Stephen Gostkowski kicks off 70 yards, touchback.",0.000,0.610
2,10:48,1,10,CHI 25,14,17,Mitchell Trubisky pass incomplete short left intended for Tarik Cohen,0.610,0.060
2,10:42,2,10,CHI 25,14,17,"Penalty on Mitchell Trubisky: False Start, 5 yards (no play)",0.060,-0.610
2,10:42,2,15,CHI 20,14,17,Mitchell Trubisky pass complete short right to Allen Robinson for 4 yards (tackle by Kyle Van Noy),-0.610,-0.760
2,10:03,3,11,CHI 24,14,17,Mitchell Trubisky pass incomplete short left intended for Trey Burton,-0.760,-1.770
2,9:57,4,11,CHI 24,14,17,"Pat O'Donnell punts 43 yards, returned by Julian Edelman for 3 yards (tackle by Benny Cunningham)",-1.770,-1.330
2,9:46,1,10,NWE 36,14,17,Tom Brady pass incomplete deep middle intended for Josh Gordon,1.330,0.790
2,9:40,2,10,NWE 36,14,17,Tom Brady pass complete short middle to James White for 6 yards (tackle by Roquan Smith),0.790,0.890
2,9:03,3,4,NWE 42,14,17,Tom Brady pass complete short middle to James White for 7 yards (tackle by Bryce Callahan and Roquan Smith),0.890,2.190
2,8:33,1,10,NWE 49,14,17,Kenjon Barner right guard for no gain (tackle by Danny Trevathan). Penalty on Josh Gordon: Illegal Shift (Declined),2.190,1.650
2,8:12,2,10,NWE 49,14,17,Tom Brady pass complete short left to Chris Hogan for 3 yards (tackle by Sherrick McManis),1.650,1.360
2,7:31,3,7,CHI 48,14,17,Tom Brady up the middle for 6 yards (tackle by Sherrick McManis),1.360,0.460
2,6:46,4,1,CHI 42,14,17,Tom Brady pass complete deep right to Josh Gordon for 19 yards (tackle by Kyle Fuller),0.460,4.040
2,6:06,1,10,CHI 23,14,17,Kenjon Barner right end for 6 yards (tackle by Danny Trevathan),4.040,4.380
2,5:24,2,4,CHI 17,14,17,Tom Brady pass complete short middle to Julian Edelman for 11 yards (tackle by Adrian Amos),4.380,5.830
2,4:49,1,6,CHI 6,14,17,Tom Brady pass incomplete short left intended for Josh Gordon,5.830,4.950
2,4:45,2,6,CHI 6,14,17,James White left end for 1 yard (tackle by Eddie Jackson),4.950,4.260
2,4:04,3,5,CHI 5,20,17,"Tom Brady pass complete short right to James White for 5 yards, touchdown",4.260,7.000
2,3:58,,,CHI 15,21,17,Stephen Gostkowski kicks extra point good,0.000,0.000
2,3:58,,,NWE 35,21,17,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
2,3:58,1,10,CHI 25,21,17,Jordan Howard left tackle for 4 yards (tackle by Kyle Van Noy),0.610,0.600
2,3:19,2,6,CHI 29,21,17,Mitchell Trubisky pass incomplete short middle intended for Dion Sims,0.600,-0.100
2,3:13,3,6,CHI 29,21,17,Mitchell Trubisky right end for 7 yards (tackle by Kyle Van Noy),-0.100,1.330
2,2:33,1,10,CHI 36,21,17,Jordan Howard left tackle for no gain (tackle by Elandon Roberts),1.330,0.790
2,2:00,2,10,CHI 36,21,17,Mitchell Trubisky pass complete short right to Taylor Gabriel for 7 yards (tackle by Lawrence Guy),0.790,1.030
2,1:54,3,3,CHI 43,21,17,Mitchell Trubisky pass incomplete deep right intended for Tarik Cohen,1.030,-0.520
2,1:48,4,3,CHI 43,21,17,"Pat O'Donnell punts 53 yards, muffed catch by Julian Edelman, recovered by Julian Edelman at NE-4, returned by Julian Edelman for no gain (tackle by Josh Bellamy)",-0.520,0.380
2,1:38,1,10,NWE 4,21,17,Kenjon Barner left tackle for 7 yards (tackle by Eddie Jackson),-0.380,-0.270
2,1:07,2,3,NWE 11,21,17,Kenjon Barner left tackle for 6 yards (tackle by Akiem Hicks),-0.270,-0.060
2,0:37,1,10,NWE 17,21,17,Tom Brady pass complete short right to Phillip Dorsett for 8 yards,-0.060,0.620
2,0:31,2,2,NWE 25,21,17,Tom Brady pass incomplete short middle intended for Chris Hogan,0.620,-0.240
