Unnamed: 0,NWE,CHI
First Downs,21,29
Rush-Yds-TDs,27-108-0,25-134-2
Cmp-Att-Yd-TD-INT,25-36-277-3-1,26-50-333-2-2
Sacked-Yards,1-4,2-14
Net Pass Yards,273,319
Total Yards,381,453
Fumbles-Lost,3-2,0-0
Turnovers,3,2
Penalties-Yards,7-64,5-40
Third Down Conv.,6-13,8-16
Fourth Down Conv.,1-1,1-1
Time of Possession,29:51,30:09
