Quarter,Time,Tm,Detail,MIN,HOU
2,14:11,Vikings,Randy Moss 1 yard pass from Daunte Culpepper (Morten Andersen kick),7,0
,0:36,Vikings,Nate Burleson 5 yard pass from Daunte Culpepper (Morten Andersen kick),14,0
3,11:50,Vikings,Marcus Robinson 10 yard pass from Daunte Culpepper (Morten Andersen kick),21,0
,6:52,Texans,Andre Johnson 2 yard pass from David Carr (Kris Brown kick),21,7
4,11:31,Texans,Domanick Williams 1 yard rush (Kris Brown kick),21,14
,6:49,Vikings,Randy Moss 50 yard pass from Daunte Culpepper (Morten Andersen kick),28,14
,3:11,Texans,Derick Armstrong 11 yard pass from David Carr (Kris Brown kick),28,21
,1:53,Texans,Andre Johnson 22 yard pass from David Carr (Kris Brown kick),28,28
OT,7:05,Vikings,Marcus Robinson 50 yard pass from Daunte Culpepper,34,28
