Quarter,Time,Down,ToGo,Location,MIN,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,HOU 30,0,0,"Kris Brown kicks off 70 yards, returned by Kelly Campbell for 22 yards (tackle by Kenny Wright)",,
1,14:54,1,10,MIN 22,0,0,Daunte Culpepper pass incomplete intended for Marcus Robinson (defended by Kailee Wong),0.410,-0.130
1,14:48,2,10,MIN 22,0,0,"Penalty on Nat Dorsey: False Start, 5 yards (no play)",-0.130,-0.940
1,14:48,2,15,MIN 17,0,0,Mewelde Moore left guard for 7 yards (tackle by Jason Simmons),-0.940,-0.560
1,14:05,3,8,MIN 24,0,0,Daunte Culpepper left end for 9 yards (tackle by Jason Simmons),-0.560,1.140
,,,,,,,"HOU challenged the ruling, and the play was upheld.",,
1,13:44,1,10,MIN 33,0,0,Daunte Culpepper pass complete to Kelly Campbell for 5 yards (tackle by Dunta Robinson),1.140,1.270
1,13:11,2,5,MIN 38,0,0,Daunte Culpepper for 1 yard (tackle by Robaire Smith),1.270,0.700
1,12:43,3,4,MIN 39,0,0,Daunte Culpepper pass complete to Marcus Robinson for 12 yards (tackle by Demarcus Faggins),0.700,2.320
1,12:04,1,10,HOU 49,0,0,Mewelde Moore left guard for -1 yards (tackle by Jamie Sharper),2.320,1.650
1,11:16,,,,0,0,Timeout #1 by Minnesota Vikings,0.000,1.650
1,11:16,2,11,HOU 50,0,0,Daunte Culpepper pass complete to Richard Owens for 4 yards (tackle by Jamie Sharper),1.650,1.490
1,10:31,3,7,HOU 46,0,0,Daunte Culpepper sacked by Jason Babin for -4 yards,1.490,-0.060
1,10:07,4,11,HOU 50,0,0,"Darren Bennett punts 36 yards, fair catch by J.J. Moses. Penalty on Rod Davis: Interference with Opportunity to Catch, 15 yards",-0.060,-0.870
1,9:56,1,10,HOU 29,0,0,David Carr pass complete to Domanick Williams for 7 yards (tackle by Dontarrious Thomas),0.870,1.270
1,9:22,2,3,HOU 36,0,0,"Penalty on Jarrod Baxter: False Start, 5 yards (no play)",1.270,0.600
1,9:01,2,8,HOU 31,0,0,David Carr pass complete to Domanick Williams for 19 yards (tackle by Brian Russell),0.600,2.260
1,8:20,1,10,HOU 50,0,0,Domanick Williams up the middle for 4 yards (tackle by Raonall Smith and Steve Martin),2.260,2.250
1,7:38,2,6,MIN 46,0,0,Domanick Williams up the middle for 4 yards (tackle by Kevin Williams and Kenny Mixon),2.250,2.080
1,6:51,3,2,MIN 42,0,0,Domanick Williams right end for -3 yards (tackle by Brian Williams and Kevin Williams),2.080,0.270
1,6:03,4,5,MIN 45,0,0,"Chad Stanley punts 45 yards, touchback",0.270,-0.280
1,5:51,1,10,MIN 20,0,0,Mewelde Moore left guard for 17 yards (tackle by Jason Simmons),0.280,1.400
1,5:12,1,10,MIN 37,0,0,Mewelde Moore right guard for 5 yards (tackle by Jay Foreman),1.400,1.530
1,4:28,2,5,MIN 42,0,0,Daunte Culpepper pass incomplete intended for Randy Moss (defended by Dunta Robinson),1.530,0.830
1,4:23,3,5,MIN 42,0,0,Daunte Culpepper up the middle for 12 yards (tackle by Jason Simmons),0.830,2.520
1,3:52,1,10,HOU 46,0,0,Mewelde Moore up the middle for 3 yards (tackle by Jason Simmons),2.520,2.380
1,3:05,2,7,HOU 43,0,0,Daunte Culpepper pass complete to Marcus Robinson for 9 yards (tackle by Aaron Glenn),2.380,3.310
1,2:38,1,10,HOU 34,0,0,Mewelde Moore right end for 7 yards (tackle by Seth Payne and Jason Simmons),3.310,3.720
1,1:55,2,3,HOU 27,0,0,Mewelde Moore right guard for 8 yards (tackle by Jason Simmons),3.720,4.310
1,1:18,1,10,HOU 19,0,0,"Penalty on Bryant McKinnie: False Start, 5 yards (no play)",4.310,3.970
1,0:53,1,15,HOU 24,0,0,Daunte Culpepper pass complete to Marcus Robinson for 21 yards (tackle by Demarcus Faggins),3.970,6.510
1,0:17,1,3,HOU 3,0,0,Mewelde Moore up the middle for 2 yards (tackle by Marcus Coleman),6.510,5.910
Quarter,Time,Down,ToGo,Location,MIN,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,HOU 1,0,0,Penalty on Gary Walker: Encroachment (no play),5.910,5.910
2,15:00,2,1,HOU 1,0,0,Daunte Culpepper up the middle for no gain (tackle by Robaire Smith and Troy Evans),5.910,5.170
2,14:15,,,,0,0,Timeout #2 by Minnesota Vikings,0.000,5.170
2,14:15,3,1,HOU 1,6,0,"Daunte Culpepper pass complete to Randy Moss for 1 yard, touchdown",5.170,7.000
2,,,,HOU 2,7,0,Morten Andersen kicks extra point good,0.000,0.000
2,,,,MIN 30,7,0,"Aaron Elling kicks off 65 yards, returned by J.J. Moses for 18 yards (tackle by Mike Nattiel)",0.000,0.480
2,14:04,1,10,HOU 23,7,0,Domanick Williams right end for 2 yards (tackle by Kenny Mixon and Steve Martin),0.480,0.200
2,13:27,2,8,HOU 25,7,0,David Carr pass complete to Andre Johnson for 6 yards (tackle by Terrance Shaw),0.200,0.300
2,12:46,3,2,HOU 31,7,0,David Carr pass incomplete intended for Jonathan Wells (defended by Kevin Williams),0.300,-1.310
2,12:41,4,2,HOU 31,7,0,"Chad Stanley punts 49 yards, fair catch by Keenan Howry",-1.310,-0.280
2,12:32,1,10,MIN 20,7,0,Daunte Culpepper pass complete to Richard Owens for 2 yards (tackle by Jason Babin),0.280,0.000
2,11:56,2,8,MIN 22,7,0,Mewelde Moore right guard for 6 yards (tackle by Jay Foreman and Jason Simmons),0.000,0.100
