Unnamed: 0,TEN,BAL
First Downs,14,18
Rush-Yds-TDs,22-67-0,34-151-2
Cmp-Att-Yd-TD-INT,16-27-179-1-1,16-27-169-1-0
Sacked-Yards,5-36,1-8
Net Pass Yards,143,161
Total Yards,210,312
Fumbles-Lost,2-1,1-0
Turnovers,2,0
Penalties-Yards,9-67,5-40
Third Down Conv.,4-12,4-13
Fourth Down Conv.,0-0,1-1
Time of Possession,29:13,30:47
