Unnamed: 0,TEN,DEN
First Downs,12,11
Rush-Yds-TDs,21-39-0,30-103-1
Cmp-Att-Yd-TD-INT,20-34-207-0-3,18-28-177-0-1
Sacked-Yards,7-42,1-10
Net Pass Yards,165,167
Total Yards,204,270
Fumbles-Lost,1-0,2-0
Turnovers,3,1
Penalties-Yards,6-40,8-51
Third Down Conv.,2-14,2-14
Fourth Down Conv.,0-2,0-0
Time of Possession,30:14,29:46
