Quarter,Time,Down,ToGo,Location,TEN,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss and deferred, Titans to receive the opening kickoff.",,
1,15:00,,,DEN 35,0,0,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,TEN 25,0,0,Marcus Mariota pass incomplete short left intended for Derrick Henry,0.610,0.060
1,14:55,2,10,TEN 25,0,0,Derrick Henry up the middle for 3 yards (tackle by Shelby Harris and Alexander Johnson),0.060,-0.230
1,14:10,3,7,TEN 28,0,0,Marcus Mariota sacked by Alexander Johnson for no gain,-0.230,-1.500
1,13:37,4,7,TEN 28,0,0,"Brett Kern punts 59 yards, returned by Diontae Spencer for 42 yards (tackle by Kevin Byard)",-1.500,-2.590
1,13:20,1,10,TEN 45,0,0,Phillip Lindsay left guard for 8 yards (tackle by Kenny Vaccaro),2.590,3.120
1,12:50,2,2,TEN 37,0,0,Phillip Lindsay left guard for 5 yards (tackle by Jayon Brown),3.120,3.450
1,12:14,1,10,TEN 32,0,0,Joe Flacco pass complete short left to Andy Janovich for 8 yards (tackle by Harold Landry),3.450,3.980
1,12:01,2,2,TEN 24,0,0,Royce Freeman up the middle for 8 yards (tackle by Kevin Byard),3.980,4.510
1,11:25,1,10,TEN 16,0,0,Joe Flacco pass complete short left to Emmanuel Sanders for no gain (tackle by Harold Landry),4.510,3.900
1,10:53,2,10,TEN 16,0,0,Royce Freeman right end for 3 yards (tackle by Adoree' Jackson),3.900,3.540
1,10:24,3,7,TEN 13,0,0,Joe Flacco pass incomplete short left intended for Courtland Sutton (defended by Malcolm Butler),3.540,2.570
1,10:19,4,7,TEN 13,0,3,Brandon McManus 31 yard field goal good,2.570,3.000
1,10:16,,,DEN 35,0,3,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
1,10:16,1,10,TEN 25,0,3,Derrick Henry right tackle for 6 yards (tackle by Mike Purcell),0.610,0.870
1,9:35,2,4,TEN 31,0,3,Derrick Henry left tackle for 1 yard (tackle by Malik Reed),0.870,0.300
1,8:55,3,3,TEN 32,0,3,Marcus Mariota pass incomplete short left intended for Delanie Walker,0.300,-1.240
1,8:51,4,3,TEN 32,0,3,"Brett Kern punts 61 yards, returned by Diontae Spencer for 5 yards (tackle by Tye Smith)",-1.240,0.350
1,8:39,1,10,DEN 12,0,3,Joe Flacco pass incomplete short middle intended for Emmanuel Sanders (defended by Malcolm Butler),-0.350,-0.780
1,8:36,2,10,DEN 12,0,3,Phillip Lindsay right tackle for 4 yards (tackle by Jurrell Casey),-0.780,-0.950
1,7:59,3,6,DEN 16,0,3,Joe Flacco pass complete short left to Courtland Sutton for 12 yards (tackle by Logan Ryan and Rashaan Evans),-0.950,0.810
1,7:13,1,10,DEN 28,0,3,Joe Flacco pass incomplete short middle,0.810,0.260
1,7:08,2,10,DEN 28,0,3,Royce Freeman up the middle for 1 yard (tackle by Harold Landry),0.260,-0.300
1,6:32,3,9,DEN 29,0,3,Royce Freeman right end for 4 yards (tackle by Logan Ryan),-0.300,-1.180
1,5:55,4,5,DEN 33,0,3,Colby Wadman punts 52 yards downed by Trey Marshall,-1.180,0.220
1,5:44,1,10,TEN 15,0,3,"Marcus Mariota pass complete short right to A.J. Brown for 13 yards (tackle by Chris Harris). A.J. Brown fumbles, ball out of bounds at TEN-28 (forced by Chris Harris)",-0.220,0.810
1,5:16,1,10,TEN 28,0,3,"Penalty on Taylor Lewan: False Start, 5 yards (no play)",0.810,0.480
1,5:04,1,15,TEN 23,0,3,Dalyn Dawkins right guard for 1 yard (tackle by Shelby Harris),0.480,-0.280
1,4:21,2,14,TEN 24,0,3,Marcus Mariota pass complete short middle to Delanie Walker for 8 yards (tackle by Todd Davis),-0.280,0.100
1,3:38,3,6,TEN 32,0,3,"Marcus Mariota pass incomplete short left intended for Delanie Walker (defended by Davontae Harris). Penalty on Davontae Harris: Defensive Pass Interference, 11 yards (no play)",0.100,1.800
1,3:34,1,10,TEN 43,0,3,Derrick Henry right tackle for 4 yards (tackle by Alexander Johnson),1.800,1.790
1,2:54,2,6,TEN 47,0,3,Marcus Mariota pass incomplete short left intended for Derrick Henry,1.790,1.090
1,2:49,3,6,TEN 47,0,3,Marcus Mariota pass complete short left to Adam Humphries for 4 yards (tackle by Davontae Harris),1.090,0.000
1,2:08,,,,,,Timeout #1 by Denver Broncos,,
1,2:07,4,2,DEN 49,0,3,"Brett Kern punts 34 yards, fair catch by Diontae Spencer at DEN-15",0.000,0.220
1,2:00,1,10,DEN 15,0,3,Phillip Lindsay left guard for 8 yards (tackle by Wesley Woodyard and Rashaan Evans),-0.220,0.480
1,1:21,2,2,DEN 23,0,3,Joe Flacco right end for 1 yard (tackle by Harold Landry),0.480,-0.270
1,0:36,3,1,DEN 24,0,3,"Penalty on Noah Fant: False Start, 5 yards (no play)",-0.270,-0.880
1,0:15,3,6,DEN 19,0,3,Joe Flacco pass complete short middle to Royce Freeman for 5 yards (tackle by Kevin Byard),-0.880,-1.770
Quarter,Time,Down,ToGo,Location,TEN,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,1,DEN 24,0,3,"Colby Wadman punts 55 yards, fair catch by Adam Humphries at TEN-21",-1.770,-0.340
2,14:53,1,10,TEN 21,0,3,"Marcus Mariota up the middle for 5 yards (tackle by Derek Wolfe). Penalty on Chris Harris: Defensive Holding, 5 yards",0.340,1.000
2,14:30,1,10,TEN 31,0,3,Marcus Mariota pass incomplete deep left intended for Tajae Sharpe,1.000,0.460
2,14:23,2,10,TEN 31,0,3,"Marcus Mariota pass complete short right to Derrick Henry for 5 yards (tackle by Todd Davis). Penalty on Derek Wolfe: Defensive Holding, 5 yards",0.460,1.660
2,13:53,1,10,TEN 41,0,3,Derrick Henry up the middle for 4 yards (tackle by Will Parks),1.660,1.660
2,13:15,2,6,TEN 45,0,3,Derrick Henry up the middle for 2 yards (tackle by Justin Simmons),1.660,1.220
2,12:36,3,4,TEN 47,0,3,Dion Lewis right end for -1 yards (tackle by Malik Reed and Todd Davis),1.220,-0.320
2,12:00,4,5,TEN 46,0,3,"Brett Kern punts 40 yards, fair catch by Diontae Spencer at DEN-14",-0.320,0.280
2,11:56,1,10,DEN 14,0,3,Phillip Lindsay right tackle for 2 yards (tackle by Rashaan Evans and Austin Johnson),-0.280,-0.510
2,11:19,2,8,DEN 16,0,3,Joe Flacco pass complete short middle to Noah Fant for 5 yards (tackle by Rashaan Evans),-0.510,-0.560
2,10:44,3,3,DEN 21,0,3,Joe Flacco pass incomplete short middle intended for Courtland Sutton,-0.560,-1.960
2,10:41,4,3,DEN 21,0,3,"Colby Wadman punts 52 yards, fair catch by Adam Humphries at TEN-27",-1.960,-0.740
2,10:33,1,10,TEN 27,0,3,Marcus Mariota pass incomplete short left intended for Corey Davis,0.740,0.200
2,10:29,2,10,TEN 27,0,3,Derrick Henry up the middle for 3 yards (tackle by Von Miller),0.200,-0.100
2,9:46,3,7,TEN 30,0,3,Marcus Mariota pass complete short right to Adam Humphries for 9 yards (tackle by Will Parks),-0.100,1.530
2,9:08,1,10,TEN 39,0,3,Derrick Henry left end for -2 yards (tackle by Mike Purcell),1.530,0.720
2,8:25,2,12,TEN 37,0,3,Marcus Mariota sacked by Shelby Harris for -1 yards,0.720,-0.100
2,7:40,3,13,TEN 36,0,3,Marcus Mariota pass incomplete short right,-0.100,-0.980
2,7:32,4,13,TEN 36,0,3,"Brett Kern punts 49 yards, fair catch by Diontae Spencer at DEN-15",-0.980,0.220
2,7:24,1,10,DEN 15,0,3,Joe Flacco pass complete deep left to Courtland Sutton for 41 yards (tackle by Logan Ryan),-0.220,2.650
2,6:45,1,10,TEN 44,0,3,Royce Freeman right guard for 7 yards (tackle by Kenny Vaccaro and Kamalei Correa),2.650,3.060
2,6:05,2,3,TEN 37,0,3,Royce Freeman left tackle for 2 yards (tackle by Jurrell Casey),3.060,2.610
2,5:28,3,1,TEN 35,0,3,Phillip Lindsay up the middle for no gain (tackle by Rashaan Evans),2.610,1.000
2,4:45,,,,,,Timeout #2 by Denver Broncos,,
2,4:42,4,1,TEN 35,0,6,Brandon McManus 53 yard field goal good,1.000,3.000
2,4:40,,,DEN 35,0,6,"Brandon McManus kicks off 65 yards, touchback.",0.000,0.610
2,4:40,1,10,TEN 25,0,6,Derrick Henry up the middle for 1 yard (tackle by Mike Purcell),0.610,0.200
2,4:08,2,9,TEN 26,0,6,Marcus Mariota pass complete short middle to Delanie Walker for 17 yards (tackle by Justin Simmons),0.200,1.800
2,3:28,1,10,TEN 43,0,6,"Penalty on Nate Davis: False Start, 5 yards (no play)",1.800,1.470
2,3:03,1,15,TEN 38,0,6,Marcus Mariota pass incomplete deep right,1.470,0.580
2,2:56,2,15,TEN 38,0,6,Marcus Mariota pass complete short left to Dion Lewis for 7 yards (tackle by DeMarcus Walker),0.580,0.830
2,2:12,3,8,TEN 45,0,6,Marcus Mariota sacked by Derek Wolfe for -6 yards,0.830,-0.780
2,2:00,4,14,TEN 39,0,6,"Brett Kern punts 46 yards, returned by Diontae Spencer for 1 yard (tackle by Dane Cruikshank)",-0.780,0.140
2,1:53,1,10,DEN 16,0,6,Phillip Lindsay up the middle for 3 yards (tackle by Jurrell Casey),-0.140,-0.180
2,1:13,2,7,DEN 19,0,6,"Phillip Lindsay left guard for 5 yards (tackle by Rashaan Evans). Penalty on Ronald Leary: Offensive Holding, 9 yards (no play)",-0.180,-1.220
2,1:07,2,16,DEN 10,0,6,Phillip Lindsay up the middle for 1 yard (tackle by Kenny Vaccaro). Penalty on Garett Bolles: Offensive Holding (Declined),-1.220,-2.010
2,1:01,3,15,DEN 11,0,6,"Connor McGovern aborted snap, recovered by Joe Flacco at DEN-6 (tackle by Harold Landry)",-2.010,-2.490
2,0:59,4,20,DEN 6,0,6,"Colby Wadman punts 53 yards, returned by Adam Humphries for 7 yards (tackle by Trey Marshall)",-2.490,-2.130
2,0:48,1,10,TEN 48,0,6,"Marcus Mariota pass short middle intended for Tajae Sharpe is intercepted by Chris Harris at DEN-39 and returned for 11 yards. Penalty on Derek Wolfe: Illegal Block Above the Waist, 10 yards",2.130,-1.600
2,0:37,1,10,DEN 40,0,6,Joe Flacco pass complete short left to Royce Freeman for 9 yards (tackle by Wesley Woodyard),1.600,2.270
2,0:31,2,1,DEN 49,0,6,Joe Flacco pass incomplete short middle intended for Emmanuel Sanders,2.270,1.550
2,0:26,3,1,DEN 49,0,6,Joe Flacco pass incomplete deep right intended for Courtland Sutton. Penalty on Courtland Sutton: Offensive Pass Interference (Declined),1.550,-0.130
2,0:20,4,1,DEN 49,0,6,"Colby Wadman punts 51 yards, touchback.",-0.130,-0.280
2,0:12,1,10,TEN 20,0,6,Marcus Mariota kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,TEN,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TEN 35,0,6,"Cody Parkey kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DEN 25,0,6,Phillip Lindsay up the middle for 1 yard (tackle by Austin Johnson and Harold Landry),0.610,0.200
3,14:27,2,9,DEN 26,0,6,Joe Flacco pass complete short middle to Noah Fant for 11 yards (tackle by Kenny Vaccaro),0.200,1.400
3,13:45,1,10,DEN 37,0,6,Phillip Lindsay left tackle for 6 yards (tackle by Logan Ryan),1.400,1.670
3,13:11,2,4,DEN 43,0,6,Phillip Lindsay up the middle for 2 yards (tackle by Jurrell Casey),1.670,1.220
3,12:36,3,2,DEN 45,0,6,Joe Flacco pass deep right intended for Noah Fant is intercepted by Kevin Byard at TEN-20 and returned for 25 yards,1.220,-1.930
3,12:25,1,10,TEN 45,0,6,Derrick Henry right end for 5 yards (tackle by Todd Davis),1.930,2.060
3,11:47,2,5,TEN 50,0,6,Derrick Henry left tackle for no gain (tackle by Mike Purcell and DeMarcus Walker),2.060,1.360
3,11:09,3,5,TEN 50,0,6,Marcus Mariota pass incomplete short right intended for A.J. Brown,1.360,-0.060
3,10:59,4,5,TEN 50,0,6,"Brett Kern punts 40 yards, fair catch by Diontae Spencer at DEN-10",-0.060,0.380
3,10:52,1,10,DEN 10,0,6,Joe Flacco pass complete short middle to DaeSean Hamilton for 12 yards (tackle by Wesley Woodyard),-0.380,0.410
3,10:15,1,10,DEN 22,0,6,Joe Flacco pass complete short middle to Royce Freeman for 6 yards (tackle by Kenny Vaccaro and Rashaan Evans),0.410,0.680
3,9:37,2,4,DEN 28,0,6,Joe Flacco pass incomplete short right,0.680,-0.030
3,9:32,3,4,DEN 28,0,6,Joe Flacco pass complete short left to Royce Freeman for 3 yards (tackle by Kevin Byard),-0.030,-1.310
3,9:10,4,1,DEN 31,0,6,"Colby Wadman punts 56 yards, returned by Adam Humphries for 1 yard (tackle by Isaac Yiadom and Fred Brown)",-1.310,0.280
3,9:00,1,10,TEN 14,0,6,Marcus Mariota pass incomplete short middle intended for Delanie Walker (defended by Shelby Harris),-0.280,-0.750
3,8:56,2,10,TEN 14,0,6,Dalyn Dawkins left tackle for 1 yard (tackle by Todd Davis),-0.750,-1.280
3,8:17,3,9,TEN 15,0,6,Marcus Mariota pass deep middle intended for Darius Jennings is intercepted by Justin Simmons at TEN-46 and returned for 5 yards,-1.280,-2.850
3,8:06,1,10,TEN 41,0,6,Phillip Lindsay up the middle for 2 yards (tackle by Harold Landry),2.850,2.580
3,7:34,2,8,TEN 39,0,6,Joe Flacco pass complete short right to Royce Freeman for 19 yards (tackle by Kevin Byard),2.580,4.240
3,6:55,1,10,TEN 20,0,6,Royce Freeman left end for 2 yards (tackle by Kenny Vaccaro),4.240,3.960
3,6:17,2,8,TEN 18,0,6,Joe Flacco pass complete short middle to DaeSean Hamilton for 13 yards (tackle by Rashaan Evans),3.960,6.060
3,5:36,1,5,TEN 5,0,6,Joe Flacco pass complete short right to Phillip Lindsay for 3 yards (tackle by Malcolm Butler and Kenny Vaccaro),6.060,5.720
3,4:59,2,2,TEN 2,0,12,"Phillip Lindsay up the middle for 2 yards, touchdown",5.720,7.000
