Quarter,Time,Tm,Detail,TEN,DEN
1,10:16,Broncos,Brandon McManus 31 yard field goal,0,3
2,4:40,Broncos,Brandon McManus 53 yard field goal,0,6
3,4:56,Broncos,Phillip Lindsay 2 yard rush (Brandon McManus kick),0,13
4,4:53,Broncos,Brandon McManus 48 yard field goal,0,16
