Unnamed: 0,SEA,DET
First Downs,28,25
Rush-Yds-TDs,25-82-2,27-102-1
Cmp-Att-Yd-TD-INT,32-41-328-2-0,28-35-323-3-1
Sacked-Yards,1-17,2-7
Net Pass Yards,311,316
Total Yards,393,418
Fumbles-Lost,0-0,2-2
Turnovers,0,3
Penalties-Yards,9-80,4-24
Third Down Conv.,5-11,6-11
Fourth Down Conv.,1-1,1-3
Time of Possession,33:31,30:48
