Quarter,Time,Down,ToGo,Location,SEA,DET,Detail,EPB,EPA
1,7:04,,,SEA 35,7,0,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,7:04,1,10,DET 25,7,0,David Montgomery right tackle for 8 yards (tackle by Jordyn Brooks and Julian Love),0.610,1.140
1,6:39,2,2,DET 33,7,0,Jared Goff pass complete short right to Sam LaPorta for 11 yards (tackle by Jordyn Brooks),1.140,1.860
1,6:07,1,10,DET 44,7,0,David Montgomery up the middle for 6 yards (tackle by Jarran Reed),1.860,2.130
1,5:32,2,4,DET 50,7,0,Jared Goff pass complete short middle to Jahmyr Gibbs for 7 yards (tackle by Bobby Wagner),2.130,2.720
1,4:59,1,10,SEA 43,7,0,Jahmyr Gibbs right end for 1 yard (tackle by Devon Witherspoon),2.720,2.310
1,4:27,2,9,SEA 42,7,0,"Jared Goff pass complete deep right to Josh Reynolds for 20 yards (tackle by Devon Witherspoon and Julian Love). Penalty on Dre'Mont Jones: Defensive Offside, 5 yards (declined)",2.310,4.110
1,3:55,1,10,SEA 22,7,6,"Jared Goff pass complete deep right to Josh Reynolds for 22 yards, touchdown",4.110,7.000
1,3:49,,,SEA 15,7,7,Riley Patterson kicks extra point good,0.000,0.000
1,3:49,,,DET 35,7,7,"Jack Fox kicks off 63 yards, returned by DeeJay Dallas for 21 yards (tackle by Jason Cabinda)",0.000,0.480
1,3:43,1,10,SEA 23,7,7,Geno Smith pass complete short right to Jaxon Smith-Njigba for 5 yards (tackle by Derrick Barnes),0.480,0.610
1,3:07,2,5,SEA 28,7,7,Zach Charbonnet left end for 9 yards (tackle by Tracy Walker),0.610,1.400
1,2:26,1,10,SEA 37,7,7,Zach Charbonnet right end for no gain (tackle by Charles Harris),1.400,0.860
1,1:45,2,10,SEA 37,7,7,Geno Smith pass incomplete short left intended for Tyler Lockett,0.860,0.170
1,1:38,3,10,SEA 37,7,7,Geno Smith pass complete short left to Jaxon Smith-Njigba for no gain (tackle by Alex Anzalone),0.170,-0.910
1,1:00,4,10,SEA 37,7,7,"Michael Dickson punts 51 yards, returned by Kalif Raymond for no gain (tackle by Jerrick Reed)",-0.910,0.350
1,0:50,1,10,DET 12,7,7,David Montgomery up the middle for 5 yards (tackle by Julian Love and Quandre Diggs),-0.350,-0.230
1,0:18,2,5,DET 17,7,7,Jared Goff pass complete short middle to Sam LaPorta for 14 yards (tackle by Riq Woolen and Bobby Wagner),-0.230,1.000
Quarter,Time,Down,ToGo,Location,SEA,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DET 31,7,7,Jahmyr Gibbs up the middle for 1 yard (tackle by Bobby Wagner and Jordyn Brooks),1.000,0.600
2,14:26,2,9,DET 32,7,7,Jared Goff pass complete short left to Antoine Green for 2 yards (tackle by Riq Woolen),0.600,0.170
2,13:57,3,7,DET 34,7,7,Jared Goff pass complete short middle to Jahmyr Gibbs for 7 yards (tackle by Coby Bryant),0.170,1.660
2,13:20,1,10,DET 41,7,7,David Montgomery up the middle for -3 yards (tackle by Mario Edwards),1.660,0.720
2,12:48,2,13,DET 38,7,7,Jared Goff pass complete short left to Amon-Ra St. Brown for 9 yards (tackle by Julian Love),0.720,1.220
2,12:13,3,4,DET 47,7,7,David Montgomery up the middle for 16 yards (tackle by Darrell Taylor),1.220,3.120
2,11:37,1,10,SEA 37,7,7,David Montgomery up the middle for 4 yards (tackle by Bobby Wagner and Julian Love),3.120,3.110
2,11:00,2,6,SEA 33,7,7,Jared Goff pass complete short left to Jahmyr Gibbs for 5 yards (tackle by Tre Brown),3.110,3.070
2,10:25,3,1,SEA 28,7,7,David Montgomery up the middle for -3 yards (tackle by Uchenna Nwosu and Jordyn Brooks),3.070,1.370
2,9:45,4,4,SEA 31,7,7,Jared Goff pass incomplete short middle intended for Sam LaPorta (defended by Devon Witherspoon),1.370,-1.000
2,9:36,1,10,SEA 31,7,7,Geno Smith pass complete short left to Tyler Lockett for 11 yards (tackle by Jerry Jacobs),1.000,1.730
2,9:02,1,10,SEA 42,7,7,"Geno Smith pass complete deep left to Noah Fant for 31 yards (tackle by James Houston). Penalty on James Houston: Defensive Holding, 5 yards (declined)",1.730,3.780
2,8:39,1,10,DET 27,7,7,Geno Smith pass incomplete deep right intended for Tyler Lockett,3.780,3.230
2,8:28,2,10,DET 27,7,7,Kenneth Walker up the middle for no gain (tackle by Brian Branch and Derrick Barnes),3.230,2.540
2,7:48,3,10,DET 27,7,7,Geno Smith pass incomplete short right,2.540,1.670
2,7:42,4,10,DET 27,7,7,Jason Myers 45 yard field goal no good,1.670,-1.270
2,7:37,1,10,DET 35,7,7,David Montgomery left end for 5 yards (tackle by Quandre Diggs and Tyreke Smith),1.270,1.400
2,7:06,2,5,DET 40,7,7,Jared Goff pass complete short right to Amon-Ra St. Brown for 8 yards (tackle by Devon Witherspoon),1.400,2.130
2,6:27,1,10,DET 48,7,7,David Montgomery right tackle for 1 yard (tackle by Cameron Young and Derick Hall),2.130,1.720
2,5:45,2,9,DET 49,7,7,Jahmyr Gibbs right end for 4 yards (tackle by Devon Witherspoon and Jordyn Brooks),1.720,1.550
2,5:05,3,5,SEA 47,7,7,"Jared Goff pass incomplete short middle intended for Marvin Jones. Penalty on Devon Witherspoon: Defensive Pass Interference, 11 yards (accepted) (no play)",1.550,3.180
2,4:59,1,10,SEA 36,7,13,"Jared Goff pass complete deep right to Kalif Raymond for 36 yards, touchdown",3.180,7.000
2,4:51,,,SEA 15,7,14,Riley Patterson kicks extra point good,0.000,0.000
2,4:51,,,DET 35,7,14,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
2,4:51,1,10,SEA 25,7,14,Kenneth Walker up the middle for no gain (tackle by C.J. Gardner-Johnson),0.610,0.060
2,4:12,2,10,SEA 25,7,14,Geno Smith pass complete short left to Tyler Lockett for 9 yards (tackle by Kerby Joseph),0.060,0.560
2,3:30,3,1,SEA 34,7,14,Geno Smith pass complete short right to Jaxon Smith-Njigba for 16 yards (tackle by C.J. Gardner-Johnson),0.560,2.260
2,2:53,1,10,DET 50,7,14,Kenneth Walker left end for 1 yard (tackle by Kerby Joseph),2.260,1.850
2,2:25,2,9,DET 49,7,14,Geno Smith pass complete short left to Jake Bobo for 3 yards (tackle by Jerry Jacobs),1.850,1.550
2,2:00,3,6,DET 46,7,14,Geno Smith scrambles for 3 yards (tackle by Charles Harris),1.550,0.400
2,1:51,,,,,,Timeout #1 by Seattle Seahawks,,
2,1:51,4,3,DET 43,7,14,Michael Dickson punts 37 yards downed by Jake Bobo,0.400,0.380
2,1:44,1,10,DET 6,7,14,David Montgomery up the middle for 5 yards (tackle by Dre'Mont Jones and Bobby Wagner),-0.380,-0.420
2,1:03,2,5,DET 11,7,14,Jared Goff pass incomplete short middle intended for Jahmyr Gibbs,-0.420,-0.840
2,0:58,3,5,DET 11,7,14,"Jared Goff pass incomplete short middle. Penalty on Jonah Jackson: Offensive Holding, 10 yards (declined)",-0.840,-2.490
2,0:52,4,5,DET 11,7,14,"Jack Fox punts 53 yards, fair catch by DeeJay Dallas at SEA-36",-2.490,-1.330
2,0:44,1,10,SEA 36,7,14,"Geno Smith pass complete short left to Zach Charbonnet for 5 yards (tackle by Malcolm Rodriguez) Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",1.330,1.470
2,0:37,,,,,,Timeout #2 by Seattle Seahawks,,
2,0:37,2,5,SEA 41,7,14,Geno Smith pass complete short right to Tyler Lockett for 7 yards (tackle by Cameron Sutton),1.470,2.130
2,0:21,1,10,SEA 48,7,14,Geno Smith pass complete short right to Noah Fant for 4 yards (tackle by Cameron Sutton),2.130,2.120
2,0:15,,,,,,Timeout #3 by Seattle Seahawks,,
2,0:15,2,6,DET 48,7,14,Geno Smith pass complete short right to Tyler Lockett for 10 yards (tackle by Cameron Sutton),2.120,3.050
2,0:08,1,10,DET 38,7,14,Geno Smith spiked the ball,3.050,2.510
2,0:07,2,10,DET 38,7,14,Jason Myers 56 yard field goal no good,2.510,-1.990
2,0:02,1,10,DET 46,7,14,"Jared Goff pass complete deep left to Amon-Ra St. Brown for 39 yards. Amon-Ra St. Brown fumbles (forced by Tre Brown), recovered by Julian Love at SEA-6 and returned for 3 yards (tackle by Amon-Ra St. Brown and Sam LaPorta)",1.990,0.000
Quarter,Time,Down,ToGo,Location,SEA,DET,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SEA 35,7,14,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DET 25,7,14,"David Montgomery up the middle for -2 yards. David Montgomery fumbles (forced by Uchenna Nwosu), recovered by Jarran Reed at DET-23 (tackle by Uchenna Nwosu)",0.610,-4.040
3,14:54,1,10,DET 23,7,14,Geno Smith pass complete short right to Colby Parkinson for 20 yards (tackle by C.J. Gardner-Johnson),4.040,6.510
3,14:22,1,3,DET 3,13,14,"Kenneth Walker left tackle for 3 yards, touchdown",6.510,7.000
3,14:16,,,DET 15,14,14,Jason Myers kicks extra point good,0.000,0.000
3,14:16,,,SEA 35,14,14,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
3,14:16,1,10,DET 25,14,14,Jared Goff pass complete deep left to Amon-Ra St. Brown for 27 yards (tackle by Julian Love),0.610,2.390
3,13:37,1,10,SEA 48,14,14,"David Montgomery left end for 15 yards (tackle by Tre Brown). Penalty on Tre Brown: Face Mask (15 Yards), 15 yards (accepted)",2.390,4.370
3,13:08,1,10,SEA 18,14,14,"Jared Goff pass complete short left to David Montgomery for no gain, touchdown. Penalty on Josh Reynolds: Offensive Pass Interference, 10 yards (accepted) (no play)",4.370,3.710
3,12:53,1,20,SEA 28,14,14,Jahmyr Gibbs left end for 1 yard (tackle by Darrell Taylor),3.710,2.610
3,12:16,2,19,SEA 27,14,14,Jared Goff pass complete short right to Amon-Ra St. Brown for 14 yards (tackle by Coby Bryant),2.610,3.820
3,11:51,3,5,SEA 13,14,14,David Montgomery right tackle for 2 yards (tackle by Bobby Wagner),3.820,2.800
3,11:11,4,3,SEA 11,14,14,Jared Goff pass complete short middle to Amon-Ra St. Brown for 5 yards (tackle by Julian Love),2.800,5.830
3,10:33,1,6,SEA 6,14,14,David Montgomery left tackle for -1 yards (tackle by Darrell Taylor and Jarran Reed),5.830,4.760
3,9:55,2,7,SEA 7,14,14,Jared Goff pass complete short right to Sam LaPorta for 3 yards (tackle by Jordyn Brooks),4.760,4.490
3,9:09,3,4,SEA 4,14,20,"David Montgomery up the middle for 4 yards, touchdown",4.490,7.000
3,9:05,,,SEA 15,14,21,Riley Patterson kicks extra point good,0.000,0.000
3,9:05,,,DET 35,14,21,"Jack Fox kicks off 57 yards, returned by DeeJay Dallas for 24 yards (tackle by Jalen Reeves-Maybin and Chase Lucas)",0.000,1.070
3,8:59,1,10,SEA 32,14,21,Geno Smith pass complete short left to D.K. Metcalf for 5 yards (tackle by Cameron Sutton),1.070,1.200
3,8:25,2,5,SEA 37,14,21,Kenneth Walker right end for 3 yards (tackle by Romeo Okwara and Derrick Barnes),1.200,0.890
3,7:46,3,2,SEA 40,14,21,Geno Smith pass complete short left to Tyler Lockett for 1 yard (tackle by Brian Branch),0.890,-0.650
3,7:12,4,1,SEA 41,14,21,Kenneth Walker up the middle for 3 yards (tackle by Aidan Hutchinson),-0.650,1.860
3,6:38,1,10,SEA 44,14,21,Geno Smith pass complete short middle to D.K. Metcalf for 15 yards (tackle by Jack Campbell),1.860,2.850
3,6:13,1,10,DET 41,14,21,Kenneth Walker left tackle for 7 yards (tackle by Jack Campbell and Alex Anzalone),2.850,3.250
3,5:47,2,3,DET 34,14,21,Kenneth Walker up the middle for 11 yards (tackle by C.J. Gardner-Johnson and Jack Campbell),3.250,4.040
3,5:13,1,10,DET 23,14,21,Geno Smith pass complete short left to Will Dissly for 16 yards (tackle by Kerby Joseph),4.040,5.600
3,4:35,1,7,DET 7,14,21,Kenneth Walker left end for no gain (tackle by Alex Anzalone),5.600,4.760
3,3:53,2,7,DET 7,14,21,", recovered by Geno Smith at DET-7 Geno Smith pass incomplete intended for D.K. Metcalf. Penalty on D.K. Metcalf: Offensive Facemask, 15 yards (offset) . Penalty on Kerby Joseph: Defensive Pass Interference, 15 yards (offset) (no play)",4.760,4.760
3,3:42,2,7,DET 7,14,21,Geno Smith pass incomplete short left,4.760,3.810
3,3:34,3,7,DET 7,14,21,Geno Smith pass incomplete short right intended for Jaxon Smith-Njigba (defended by Kerby Joseph),3.810,2.970
3,3:30,4,7,DET 7,17,21,Jason Myers 25 yard field goal good,2.970,3.000
3,3:27,,,SEA 35,17,21,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
3,3:27,1,10,DET 25,17,21,David Montgomery right tackle for 5 yards (tackle by Mario Edwards),0.610,0.740
3,2:59,2,5,DET 30,17,21,Jared Goff pass complete short left to David Montgomery for 7 yards (tackle by Jordyn Brooks),0.740,1.400
3,2:21,1,10,DET 37,17,21,Jahmyr Gibbs left end for 2 yards (tackle by Julian Love),1.400,1.130
3,1:43,2,8,DET 39,17,21,Jared Goff pass complete short left to Jahmyr Gibbs for 6 yards (tackle by Jordyn Brooks),1.130,1.220
3,1:07,3,2,DET 45,17,21,Jahmyr Gibbs up the middle for no gain (tackle by Bobby Wagner),1.220,-0.390
3,0:33,4,2,DET 45,17,21,Jared Goff pass incomplete deep left intended for Josh Reynolds,-0.390,-2.590
3,0:27,1,10,DET 45,17,21,"Penalty on Phil Haynes: False Start, 5 yards (accepted) (no play)",2.590,2.260
3,0:27,1,15,DET 50,17,21,Geno Smith pass complete short left to Zach Charbonnet for 9 yards (tackle by Malcolm Rodriguez),2.260,2.580
Quarter,Time,Down,ToGo,Location,SEA,DET,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,6,DET 41,17,21,Geno Smith pass complete short middle to Will Dissly for 13 yards (tackle by Kerby Joseph),2.580,3.710
4,14:18,1,10,DET 28,17,21,Geno Smith pass complete short right to Jaxon Smith-Njigba for 6 yards (tackle by Jack Campbell),3.710,3.980
4,13:58,2,4,DET 22,17,21,Zach Charbonnet up the middle for 5 yards (tackle by Jack Campbell and Alex Anzalone),3.980,4.440
4,13:11,1,10,DET 17,17,21,"Geno Smith pass incomplete deep right. Penalty on Geno Smith: Intentional Grounding, 10 yards (accepted)",4.440,2.540
4,13:11,2,20,DET 27,17,21,Geno Smith scrambles left end for 15 yards (tackle by Brian Branch),2.540,3.880
4,12:36,3,5,DET 12,17,21,Geno Smith scrambles up the middle for no gain (no play),3.880,3.070
4,12:01,,,,,,Timeout #1 by Seattle Seahawks,,
4,12:01,3,10,DET 17,17,21,Geno Smith pass complete short right to Tyler Lockett for 12 yards (tackle by Jerry Jacobs),3.070,6.060
4,11:28,1,5,DET 5,17,21,Zach Charbonnet right end for 2 yards (tackle by Kerby Joseph),6.060,5.530
4,10:45,2,3,DET 3,23,21,"Geno Smith pass complete short left to Tyler Lockett for 3 yards, touchdown",5.530,7.000
4,10:38,,,DET 15,24,21,Jason Myers kicks extra point good,0.000,0.000
4,10:38,,,SEA 35,24,21,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
4,10:38,1,10,DET 25,24,21,Craig Reynolds right tackle for no gain (tackle by Derick Hall),0.610,0.060
4,10:15,2,10,DET 25,24,21,Jared Goff pass complete short left to Jahmyr Gibbs for 7 yards (tackle by Bobby Wagner),0.060,0.300
4,9:41,3,3,DET 32,24,21,Jared Goff pass complete short middle to Josh Reynolds for 8 yards (tackle by Julian Love),0.300,1.600
4,9:05,1,10,DET 40,24,21,Jared Goff sacked by Tre Brown for -5 yards,1.600,0.380
4,8:14,2,15,DET 35,30,21,"Jared Goff pass short left intended for Jahmyr Gibbs is intercepted by Tre Brown at DET-40 and returned for 40 yards, touchdown",0.380,-7.000
4,8:04,,,DET 15,31,21,Jason Myers kicks extra point good,0.000,0.000
4,8:04,,,SEA 35,31,21,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
4,8:04,1,10,DET 25,31,21,"Jared Goff pass complete short middle to Kalif Raymond for 10 yards (tackle by Quandre Diggs). Penalty on Darrell Taylor: Roughing the Passer, 15 yards (accepted)",0.610,2.260
4,7:43,1,10,DET 50,31,21,Jared Goff pass incomplete deep left intended for Kalif Raymond (defended by Tre Brown),2.260,1.710
4,7:38,2,10,DET 50,31,21,Jared Goff sacked by Dre'Mont Jones for -2 yards,1.710,0.760
4,6:59,3,12,DET 48,31,21,Jared Goff pass complete short middle to Sam LaPorta for 12 yards (tackle by Bobby Wagner),0.760,2.920
4,6:17,1,10,SEA 40,31,21,Jared Goff pass complete short right to Craig Reynolds for -2 yards (tackle by Cameron Young and Jordyn Brooks),2.920,2.100
4,5:41,2,12,SEA 42,31,21,Craig Reynolds right tackle for 5 yards (tackle by Julian Love and Quandre Diggs),2.100,2.080
4,4:56,3,7,SEA 37,31,21,Jahmyr Gibbs right tackle for 8 yards (tackle by Bobby Wagner),2.080,3.640
4,4:35,1,10,SEA 29,31,21,Jared Goff pass complete short right to Sam LaPorta for 23 yards (tackle by Quandre Diggs),3.640,5.830
4,3:49,1,6,SEA 6,31,21,Craig Reynolds up the middle for 2 yards (tackle by Jordyn Brooks and Devon Witherspoon),5.830,5.340
4,3:12,2,4,SEA 4,31,27,"Jared Goff pass complete short middle to Josh Reynolds for 4 yards, touchdown",5.340,7.000
4,3:08,,,SEA 15,31,28,Riley Patterson kicks extra point good,0.000,0.000
4,3:08,,,DET 35,31,28,"Jack Fox kicks off 59 yards, returned by DeeJay Dallas for 22 yards (tackle by Jalen Reeves-Maybin and Jack Campbell)",0.000,0.810
4,3:03,1,10,SEA 28,31,28,Geno Smith scrambles up the middle for 2 yards (tackle by Brian Branch),0.810,0.530
4,2:21,2,8,SEA 30,31,28,Geno Smith pass incomplete short right intended for Colby Parkinson (defended by Aidan Hutchinson),0.530,-0.160
4,2:17,3,8,SEA 30,31,28,"Geno Smith pass complete short middle to Colby Parkinson for no gain. Penalty on Colby Parkinson: Offensive Pass Interference, 10 yards (accepted) (no play)",-0.160,-1.480
4,2:11,3,18,SEA 20,31,28,Geno Smith sacked by Alex Anzalone for -17 yards,-1.480,-2.490
4,1:57,4,35,SEA 3,31,28,"Michael Dickson punts 64 yards, returned by Kalif Raymond for 17 yards (tackle by Jerrick Reed)",-2.490,-2.260
4,1:44,1,10,DET 50,31,28,Jared Goff pass complete short right to Josh Reynolds for 12 yards (tackle by Julian Love),2.260,3.050
4,1:06,1,10,SEA 38,31,28,Kalif Raymond right end for 11 yards (tackle by Julian Love),3.050,3.780
4,0:38,1,10,SEA 27,31,28,Jared Goff pass complete short middle to Jahmyr Gibbs for 4 yards (tackle by Jordyn Brooks),3.780,3.770
4,0:26,,,,,,Timeout #1 by Detroit Lions,,
4,0:26,2,6,SEA 23,31,28,Jared Goff pass incomplete short middle intended for Amon-Ra St. Brown,3.770,3.070
4,0:23,3,6,SEA 23,31,28,Jared Goff pass complete short right to Jahmyr Gibbs for 3 yards (tackle by Julian Love),3.070,2.220
4,0:03,,,,,,Timeout #2 by Detroit Lions,,
4,0:03,4,3,SEA 20,31,31,Riley Patterson 38 yard field goal good,2.220,3.000
Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime,Overtime
Quarter,Time,Down,ToGo,Location,SEA,DET,Detail,EPB,EPA
,,,,,,,"Seahawks won the coin toss, Seahawks to receive the overtime kickoff.",,
OT,10:00,,,DET 35,31,31,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
OT,10:00,1,10,SEA 25,31,31,Geno Smith pass complete short middle to Noah Fant for 17 yards (tackle by Derrick Barnes and C.J. Gardner-Johnson),0.610,1.730
OT,9:24,1,10,SEA 42,31,31,Geno Smith pass incomplete short left intended for Kenneth Walker,1.730,1.190
OT,9:18,2,10,SEA 42,31,31,Geno Smith pass complete short right to Noah Fant for 4 yards (tackle by Derrick Barnes),1.190,1.030
OT,8:38,3,6,SEA 46,31,31,Geno Smith pass complete deep middle to D.K. Metcalf for 16 yards (tackle by Jerry Jacobs and Kerby Joseph),1.030,3.050
OT,8:09,1,10,DET 38,31,31,DeeJay Dallas up the middle for 3 yards (tackle by Aidan Hutchinson),3.050,2.910
OT,7:37,2,7,DET 35,31,31,Geno Smith pass complete short left to Colby Parkinson for 21 yards (tackle by Jerry Jacobs),2.910,4.650
OT,7:06,1,10,DET 14,31,31,Kenneth Walker right end for 3 yards (tackle by C.J. Gardner-Johnson),4.650,4.520
OT,6:28,2,7,DET 11,31,31,Geno Smith pass complete short left to D.K. Metcalf for 5 yards (tackle by Cameron Sutton),4.520,4.730
OT,5:48,3,2,DET 6,37,31,"Geno Smith pass complete short right to Tyler Lockett for 6 yards, touchdown",4.730,6.000
End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime,End of Overtime
