Quarter,Time,Tm,Detail,TAM,HOU
1.0,3:59,Texans,Andre Johnson 4 yard pass from Sage Rosenfels (Kris Brown kick),0,7
2.0,10:57,Buccaneers,Earnest Graham 4 yard rush (Matt Bryant kick),7,7
,4:38,Texans,Kevin Walter 8 yard pass from Sage Rosenfels (Kris Brown kick),7,14
3.0,14:46,Texans,Andre' Davis 97 yard kickoff return (Kris Brown kick),7,21
,12:38,Buccaneers,Earnest Graham 11 yard rush (Matt Bryant kick),14,21
4.0,14:56,Texans,Owen Daniels 4 yard pass from Sage Rosenfels (Kris Brown kick),14,28
