Player,Pos
Sage Rosenfels,QB
Ron Dayne,RB
Vonta Leach,FB
Kevin Walter,WR
Andre Johnson,WR
Owen Daniels,TE
Ephraim Salaam,LT
Chester Pitts,LG
Mike Flanagan,C
Mike Brisiel,RG
Eric Winston,RT
Anthony Weaver,LDE
Travis Johnson,LDT
Anthony Maddox,RDT
Mario Williams,RDE
Charlie Anderson,SLB
DeMeco Ryans,MLB
Morlon Greenwood,WLB
Fred Bennett,LCB
Von Hutchins,RCB
C.C. Brown,SS
Will Demps,FS
