Quarter,Time,Tm,Detail,NOR,ATL
1.0,1:02,Saints,Garrett Hartley 52 yard field goal,3,0
2.0,11:18,Saints,Pierre Thomas 2 yard rush (Garrett Hartley kick),10,0
,7:28,Falcons,Roddy White 7 yard pass from Matt Ryan (Matt Bryant kick),10,7
4.0,14:14,Falcons,Chauncey Davis 26 yard interception return (Matt Bryant kick),10,14
,3:24,Saints,Jimmy Graham 6 yard pass from Drew Brees (Garrett Hartley kick),17,14
