Unnamed: 0,TEN,SDG
First Downs,14,26
Rush-Yds-TDs,19-55-0,37-241-3
Cmp-Att-Yd-TD-INT,13-39-163-1-2,25-36-235-1-0
Sacked-Yards,0-0,0-0
Net Pass Yards,163,235
Total Yards,218,476
Fumbles-Lost,2-0,0-0
Turnovers,2,0
Penalties-Yards,6-55,7-53
Third Down Conv.,2-12,5-13
Fourth Down Conv.,2-3,1-2
Time of Possession,21:25,38:35
