Quarter,Time,Tm,Detail,TEN,SDG
1.0,6:27,Chargers,Nate Kaeding 28 yard field goal,0,3
2.0,13:14,Chargers,LaDainian Tomlinson 4 yard rush (Nate Kaeding kick),0,10
,9:02,Chargers,LaDainian Tomlinson 8 yard rush (Nate Kaeding kick),0,17
,0:17,Chargers,Nate Kaeding 31 yard field goal,0,20
3.0,6:55,Chargers,Nate Kaeding 35 yard field goal,0,23
,3:44,Chargers,Nate Kaeding 44 yard field goal,0,26
4.0,12:15,Chargers,Vincent Jackson 12 yard pass from Philip Rivers (Nate Kaeding kick),0,33
,3:09,Titans,Drew Bennett 18 yard pass from Vince Young (Rob Bironas kick),7,33
,1:53,Chargers,Charlie Whitehurst 14 yard rush (Nate Kaeding kick),7,40
