Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Marquise Brown,BAL,8,4,86,0,3,60,15.0,26,6.5,27.4,0,,0,0.0,1,49.0
Mark Andrews,BAL,3,3,57,2,3,52,17.3,5,1.7,17.3,0,,0,0.0,0,158.3
Miles Boykin,BAL,4,2,28,0,2,14,7.0,14,7.0,13.0,0,,0,0.0,1,33.3
Willie Snead,BAL,2,2,20,0,1,20,10.0,0,0.0,10.0,0,,0,0.0,0,108.3
Nick Boyle,BAL,1,1,9,0,1,9,9.0,0,0.0,9.0,0,,0,0.0,0,104.2
J.K. Dobbins,BAL,2,1,1,0,,-3,-3.0,4,4.0,-4.0,0,,1,50.0,0,56.2
Devin Duvernay,BAL,2,1,4,0,,2,2.0,2,2.0,9.5,0,,0,0.0,0,56.2
Mark Ingram,BAL,1,1,3,0,0,3,3.0,0,0.0,3.0,0,,0,0.0,0,79.2
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Terry McLaurin,WAS,14,10,118,0,8,94,9.4,24,2.4,9.6,1,10.0,0,0.0,0,96.7
J.D. McKissic,WAS,8,7,40,0,1,-4,-0.6,44,6.3,1.3,1,7.0,0,0.0,0,87.5
Antonio Gibson,WAS,5,4,82,0,4,1,0.3,81,20.3,-0.6,1,4.0,0,0.0,0,118.7
Dontrelle Inman,WAS,5,4,29,0,2,11,2.8,18,4.5,5.0,0,,0,0.0,0,90.8
Isaiah Wright,WAS,5,4,20,0,1,-2,-0.5,22,5.5,0.6,1,4.0,0,0.0,0,83.3
Cam Sims,WAS,2,2,17,0,,7,3.5,10,5.0,3.5,0,,0,0.0,0,102.1
Logan Thomas,WAS,4,1,8,0,1,3,3.0,5,5.0,5.5,0,,0,0.0,0,39.6
Peyton Barber,WAS,1,0,0,0,,0,,0,,1.0,0,,0,0.0,0,39.6
