Unnamed: 0,BAL,WAS
First Downs,18,24
Rush-Yds-TDs,32-144-2,22-69-2
Cmp-Att-Yd-TD-INT,15-23-208-2-2,32-45-314-0-0
Sacked-Yards,1-2,3-40
Net Pass Yards,206,274
Total Yards,350,343
Fumbles-Lost,0-0,1-1
Turnovers,2,1
Penalties-Yards,5-30,2-20
Third Down Conv.,5-11,4-13
Fourth Down Conv.,2-2,2-3
Time of Possession,29:22,30:38
