Quarter,Time,Down,ToGo,Location,BAL,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Ravens won the coin toss and deferred, Washington to receive the opening kickoff.",,
1,15:00,,,BAL 35,0,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,WAS 25,0,0,J.D. McKissic right end for 1 yard (tackle by Matt Judon and Calais Campbell),0.610,0.200
1,14:26,2,9,WAS 26,0,0,"Dwayne Haskins pass complete short right to J.D. McKissic for 6 yards (tackle by L.J. Fort). Penalty on Marcus Peters: Defensive Holding, 5 yards (no play)",0.200,1.000
1,14:08,1,10,WAS 31,0,0,Antonio Gibson left end for 10 yards (tackle by DeShon Elliott),1.000,1.660
1,13:31,1,10,WAS 41,0,0,Dwayne Haskins pass incomplete short right intended for Antonio Gibson,1.660,1.120
1,13:27,2,10,WAS 41,0,0,Dwayne Haskins pass incomplete deep right intended for Terry McLaurin,1.120,0.430
1,13:22,3,10,WAS 41,0,0,Dwayne Haskins pass complete short right to Cam Sims for 9 yards (tackle by Chris Board and Marlon Humphrey),0.430,-0.060
1,12:20,4,1,WAS 50,0,0,Dwayne Haskins right guard for 2 yards (tackle by Malik Harrison),-0.060,2.390
1,11:46,1,10,BAL 48,0,0,Antonio Gibson left tackle for 2 yards (tackle by Patrick Queen),2.390,2.120
1,11:10,2,8,BAL 46,0,0,Antonio Gibson left end for 2 yards (tackle by Chuck Clark and Tyus Bowser),2.120,1.690
1,10:26,3,6,BAL 44,0,0,Dwayne Haskins sacked by Matt Judon for -9 yards,1.690,-0.260
1,9:51,4,15,WAS 47,0,0,"Tress Way punts 45 yards, fair catch by James Proche at BAL-8",-0.260,0.380
1,9:44,1,10,BAL 8,0,0,Mark Ingram left tackle for 4 yards (tackle by Jonathan Bostic and Jonathan Allen),-0.380,-0.490
1,9:09,2,6,BAL 12,0,0,Lamar Jackson pass complete short right to Mark Andrews for 10 yards (tackle by Kamren Curl),-0.490,0.410
1,8:46,1,10,BAL 22,0,0,Lamar Jackson left end for 1 yard (tackle by Jonathan Bostic),0.410,0.000
1,8:13,2,9,BAL 23,0,0,Gus Edwards up the middle for 8 yards (tackle by Kevin Pierre-Louis and Jonathan Bostic),0.000,0.370
1,7:25,3,1,BAL 31,0,0,Gus Edwards up the middle for 1 yard (tackle by Jonathan Allen),0.370,1.070
1,6:39,1,10,BAL 32,0,0,J.K. Dobbins right end for 2 yards (tackle by Landon Collins and Tim Settle),1.070,0.800
1,5:56,2,8,BAL 34,0,0,Lamar Jackson pass complete short left to J.K. Dobbins for 1 yard (tackle by Kamren Curl and Jonathan Bostic),0.800,0.230
1,5:11,3,7,BAL 35,0,0,"Penalty on Orlando Brown: False Start, 5 yards (no play)",0.230,-0.430
1,4:55,3,12,BAL 30,0,0,Lamar Jackson up the middle for 5 yards (tackle by Daron Payne and Jimmy Moreland),-0.430,-1.040
1,4:19,4,7,BAL 35,0,0,"Sam Koch punts 49 yards, returned by Greg Stroman for -3 yards (tackle by Justice Hill)",-1.040,0.320
1,4:09,1,10,WAS 13,0,0,Dwayne Haskins pass complete short middle to Antonio Gibson for 17 yards (tackle by Patrick Queen),-0.320,0.940
1,3:39,1,10,WAS 30,0,0,Antonio Gibson left tackle for -1 yards (tackle by Patrick Queen),0.940,0.260
1,3:03,2,11,WAS 29,0,0,"Dwayne Haskins pass complete short left to J.D. McKissic for no gain (tackle by Marlon Humphrey). J.D. McKissic fumbles (forced by Marlon Humphrey), recovered by Marcus Peters at WAS-31 and returned for -3 yards (tackle by Logan Thomas)",0.260,-3.310
1,2:51,1,10,WAS 34,0,0,Lamar Jackson pass complete deep right to Marquise Brown for 33 yards (tackle by Ronald Darby),3.310,6.970
1,2:13,1,1,WAS 1,6,0,"Mark Ingram right tackle for 1 yard, touchdown",6.970,7.000
1,2:09,,,WAS 15,7,0,Justin Tucker kicks extra point good,0.000,0.000
1,2:09,,,BAL 35,7,0,"Justin Tucker kicks off 62 yards, returned by Isaiah Wright for 10 yards (tackle by Chris Board)",0.000,-0.320
1,2:05,1,10,WAS 13,7,0,Peyton Barber right guard for 3 yards (tackle by Patrick Queen),-0.320,-0.440
1,1:26,2,7,WAS 16,7,0,Dwayne Haskins pass complete short right to Isaiah Wright for 3 yards (tackle by Marlon Humphrey),-0.440,-0.710
1,0:41,3,4,WAS 19,7,0,Dwayne Haskins pass incomplete short middle intended for Logan Thomas,-0.710,-2.140
1,0:37,4,4,WAS 19,7,0,"Tress Way punts 51 yards, returned by James Proche for 10 yards (tackle by Jeremy Sprinkle)",-2.140,-1.600
1,0:27,1,10,BAL 40,7,0,Lamar Jackson right end for 1 yard (tackle by Landon Collins),1.600,1.190
Quarter,Time,Down,ToGo,Location,BAL,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,BAL 41,7,0,Lamar Jackson pass incomplete deep middle intended for Marquise Brown,1.190,0.500
2,14:54,3,9,BAL 41,7,0,Lamar Jackson pass incomplete deep right intended for Miles Boykin,0.500,-0.650
2,14:49,4,9,BAL 41,7,0,"Sam Koch punts 41 yards, fair catch by Isaiah Wright at WAS-18",-0.650,-0.040
2,14:42,1,10,WAS 18,7,0,Dwayne Haskins pass complete short left to Terry McLaurin for 11 yards (tackle by Anthony Averett). Penalty on Marcus Peters: Defensive Holding (Declined),0.040,0.870
2,14:19,1,10,WAS 29,7,0,Antonio Gibson right end for 7 yards (tackle by Patrick Queen and Jaylon Ferguson),0.870,1.270
2,13:57,2,3,WAS 36,7,0,Antonio Gibson up the middle for -1 yards (tackle by Patrick Queen),1.270,0.430
2,13:23,3,4,WAS 35,7,0,Dwayne Haskins pass complete short middle to Logan Thomas for 8 yards (tackle by Jimmy Smith),0.430,1.800
2,12:42,1,10,WAS 43,7,0,Dwayne Haskins pass complete short right to Antonio Gibson for 18 yards (tackle by Chuck Clark),1.800,2.980
2,12:10,1,10,BAL 39,7,0,Peyton Barber right tackle for 3 yards (tackle by Patrick Queen),2.980,2.850
2,11:37,2,7,BAL 36,7,0,Dwayne Haskins pass incomplete short right intended for Logan Thomas (defended by DeShon Elliott),2.850,2.150
2,11:34,3,7,BAL 36,7,0,Dwayne Haskins pass incomplete short middle intended for Terry McLaurin (defended by Calais Campbell),2.150,0.880
2,11:31,4,7,BAL 36,7,0,Dustin Hopkins 54 yard field goal no good,0.880,-1.860
2,11:26,1,10,BAL 44,7,0,Mark Ingram right end for 5 yards (tackle by Kevin Pierre-Louis),1.860,1.990
2,10:46,2,5,BAL 49,7,0,Mark Ingram left guard for 1 yard (tackle by Nate Orchard and Jonathan Allen),1.990,1.420
2,10:05,3,4,BAL 50,13,0,"Lamar Jackson right end for 50 yards, touchdown",1.420,7.000
2,9:56,,,WAS 15,14,0,Justin Tucker kicks extra point good,0.000,0.000
2,9:56,,,BAL 35,14,0,"Justin Tucker kicks off 65 yards, touchback.",0.000,0.610
2,9:56,1,10,WAS 25,14,0,Dwayne Haskins pass complete short middle to Terry McLaurin for 11 yards (tackle by Marlon Humphrey),0.610,1.330
2,9:26,1,10,WAS 36,14,0,Dwayne Haskins pass complete short right to Isaiah Wright for 1 yard (tackle by Marlon Humphrey),1.330,0.930
2,8:50,2,9,WAS 37,14,0,Dwayne Haskins pass complete short middle to Dontrelle Inman for 13 yards (tackle by Chuck Clark),0.930,2.260
2,8:08,1,10,WAS 50,14,0,Dwayne Haskins pass complete short left to Terry McLaurin for -1 yards (tackle by Tyus Bowser),2.260,1.580
