Quarter,Time,Tm,Detail,BAL,WAS
1.0,2:09,Ravens,Mark Ingram 1 yard rush (Justin Tucker kick),7,0
2.0,9:56,Ravens,Lamar Jackson 50 yard rush (Justin Tucker kick),14,0
,4:41,Washington,Antonio Gibson 2 yard rush (Dustin Hopkins kick),14,7
,1:49,Ravens,Mark Andrews 25 yard pass from Lamar Jackson (Justin Tucker kick),21,7
,0:00,Washington,Dustin Hopkins 43 yard field goal,21,10
3.0,8:42,Ravens,Mark Andrews 22 yard pass from Lamar Jackson (Justin Tucker kick),28,10
4.0,5:16,Ravens,Justin Tucker 46 yard field goal,31,10
,2:05,Washington,Dwayne Haskins 1 yard rush (Dustin Hopkins kick),31,17
