Quarter,Time,Down,ToGo,Location,PHI,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Cody Parkey kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,IND 20,0,0,Andrew Luck pass incomplete short right intended for T.Y. Hilton,0.280,-0.270
1,14:58,2,10,IND 20,0,0,Trent Richardson right end for -4 yards (tackle by Mychal Kendricks),-0.270,-1.690
1,14:18,3,14,IND 16,0,0,Andrew Luck pass complete short right to T.Y. Hilton for 5 yards (tackle by Malcolm Jenkins),-1.690,-1.960
1,13:46,4,9,IND 21,0,0,"Pat McAfee punts 60 yards, returned by Darren Sproles for 13 yards (tackle by Matt Overton). Penalty on Bryan Braman: Illegal Block Above the Waist, 10 yards",-1.960,0.060
1,13:33,1,10,PHI 17,0,0,Nick Foles pass complete short right to LeSean McCoy for 12 yards (tackle by LaRon Landry),-0.060,0.870
1,13:18,1,10,PHI 29,0,0,Nick Foles pass complete short right to LeSean McCoy for no gain,0.870,0.330
1,12:46,2,10,PHI 29,0,0,Nick Foles pass complete short left to Jeremy Maclin for 15 yards (tackle by LaRon Landry),0.330,1.860
1,12:35,1,10,PHI 44,0,0,Nick Foles pass complete deep right to Zach Ertz for 27 yards (tackle by Mike Adams),1.860,3.640
1,12:14,1,10,IND 29,0,0,Nick Foles pass incomplete short left intended for Jordan Matthews,3.640,3.100
1,12:09,2,10,IND 29,0,0,Nick Foles right tackle for 5 yards (tackle by Mike Adams),3.100,3.070
1,11:36,3,5,IND 24,0,0,Nick Foles pass complete short middle to Zach Ertz for 14 yards (tackle by LaRon Landry). Penalty on Greg Toler: Defensive Holding (Declined),3.070,4.910
1,11:15,1,10,IND 10,0,0,LeSean McCoy left tackle for -2 yards (tackle by Ricky Jean-Francois),4.910,3.860
1,10:39,2,12,IND 12,0,0,LeSean McCoy up the middle for -2 yards (tackle by D'Qwell Jackson),3.860,3.000
1,9:58,3,14,IND 14,0,0,Nick Foles pass incomplete short left intended for Jeremy Maclin,3.000,2.510
1,9:52,4,14,IND 14,3,0,Cody Parkey 31 yard field goal good,2.510,3.000
1,9:52,,,PHI 35,3,0,"Cody Parkey kicks off 62 yards, returned by Dan Herron for 25 yards (tackle by James Casey)",0.000,-0.810
