Unnamed: 0,PHI,IND
First Downs,24,25
Rush-Yds-TDs,27-127-2,38-169-0
Cmp-Att-Yd-TD-INT,21-37-331-1-1,20-34-172-3-1
Sacked-Yards,0-0,0-0
Net Pass Yards,331,172
Total Yards,458,341
Fumbles-Lost,0-0,2-1
Turnovers,1,2
Penalties-Yards,11-90,4-70
Third Down Conv.,5-12,4-12
Fourth Down Conv.,0-0,1-1
Time of Possession,23:45,36:15
