Quarter,Time,Tm,Detail,SFO,ARI
1.0,9:35,49ers,Michael Crabtree 38 yard pass from Troy Smith (Shane Andrus kick),7,0
,5:56,Cardinals,Jay Feely 31 yard field goal,7,3
,0:29,49ers,Anthony Dixon 1 yard rush (Shane Andrus kick),14,3
2.0,7:23,49ers,Brian Westbrook 8 yard rush (Shane Andrus kick),21,3
,2:16,Cardinals,Jay Feely 39 yard field goal,21,6
3.0,2:38,49ers,Shane Andrus 38 yard field goal,24,6
4.0,12:43,49ers,Shane Andrus 26 yard field goal,27,6
