Unnamed: 0,ARI,CIN
First Downs,17,21
Rush-Yds-TDs,24-50-1,20-72-0
Cmp-Att-Yd-TD-INT,16-28-211-2-0,37-52-329-2-4
Sacked-Yards,3-14,1-5
Net Pass Yards,197,324
Total Yards,247,396
Fumbles-Lost,0-0,2-1
Turnovers,0,5
Penalties-Yards,11-101,11-79
Third Down Conv.,3-11,8-14
Fourth Down Conv.,0-0,0-2
Time of Possession,27:33,32:27
