Unnamed: 0,SFO,NYG
First Downs,20,17
Rush-Yds-TDs,37-148-0,21-65-0
Cmp-Att-Yd-TD-INT,15-30-193-1-0,22-45-280-1-5
Sacked-Yards,1-8,2-15
Net Pass Yards,185,265
Total Yards,333,330
Fumbles-Lost,3-1,1-0
Turnovers,1,5
Penalties-Yards,4-35,3-54
Third Down Conv.,6-14,6-15
Fourth Down Conv.,0-1,0-3
Time of Possession,34:59,25:01
