Quarter,Time,Tm,Detail,SFO,NYG
1.0,6:54,Giants,Larry Donnell 19 yard pass from Eli Manning (Josh Brown kick),0,7
,0:59,49ers,Phil Dawson 31 yard field goal,3,7
2.0,10:15,49ers,Phil Dawson 37 yard field goal,6,7
,7:29,49ers,Phil Dawson 44 yard field goal,9,7
3.0,11:38,49ers,Michael Crabtree 48 yard pass from Colin Kaepernick (Phil Dawson kick),16,7
,8:18,Giants,Josh Brown 43 yard field goal,16,10
