Quarter,Time,Down,ToGo,Location,CHI,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,CHI 35,0,0,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ATL 25,0,0,Marcus Mariota pass incomplete short right intended for Kyle Pitts (defended by Eddie Jackson),0.610,0.060
1,14:56,2,10,ATL 25,0,0,Marcus Mariota pass complete short right to Olamide Zaccheaus for 9 yards (tackle by Jack Sanborn),0.060,0.560
1,14:31,3,1,ATL 34,0,0,"Penalty on Justin Jones: Neutral Zone Infraction, 6 yards (accepted) (no play)",0.560,1.600
1,14:12,1,10,ATL 40,0,0,Cordarrelle Patterson right end for 3 yards (tackle by Jaquan Brisker and Justin Jones),1.600,1.460
1,13:41,2,7,ATL 43,0,0,Marcus Mariota pass complete short middle to Kyle Pitts for 16 yards (tackle by Kyler Gordon),1.460,2.850
1,13:01,1,10,CHI 41,0,0,Tyler Allgeier right end for 13 yards (tackle by Jaquan Brisker),2.850,3.710
1,12:26,1,10,CHI 28,0,0,Marcus Mariota scrambles left guard for 1 yard (tackle by Jaquan Brisker),3.710,3.300
1,11:57,2,9,CHI 27,0,0,Marcus Mariota pass complete short left to KhaDarel Hodge for 13 yards (tackle by Jaylon Johnson),3.300,4.650
1,11:13,1,10,CHI 14,0,0,Cordarrelle Patterson right guard for 7 yards (tackle by Eddie Jackson),4.650,5.280
1,10:27,2,3,CHI 7,0,0,Marcus Mariota right end for 5 yards (tackle by Nicholas Morrow and Eddie Jackson),5.280,6.740
1,9:46,1,2,CHI 2,0,6,"Marcus Mariota pass complete short left to Drake London for 2 yards, touchdown. Penalty on Jaquan Brisker: Defensive Holding, 1 yard (declined)",6.740,7.000
1,9:37,,,CHI 15,0,7,Younghoe Koo kicks extra point good,0.000,0.000
1,9:37,,,ATL 35,0,7,"Bradley Pinion kicks off 64 yards, returned by Velus Jones for 55 yards (tackle by Erik Harris)",0.000,2.650
1,9:27,1,10,ATL 44,0,7,Justin Fields pass complete short left to David Montgomery for 9 yards (tackle by Darren Hall and Lorenzo Carter),2.650,3.330
1,8:46,2,1,ATL 35,0,7,David Montgomery right tackle for 4 yards (tackle by Abdullah Anderson and Richie Grant),3.330,3.510
1,8:11,1,10,ATL 31,0,7,David Montgomery left end for 4 yards (tackle by Jaylinn Hawkins and Mykal Walker),3.510,3.510
1,7:38,2,6,ATL 27,0,7,Justin Fields right end for 9 yards (tackle by Darren Hall),3.510,4.370
1,6:59,1,10,ATL 18,0,7,"Sam Mustipher aborted snap, recovered by Justin Fields at ATL-23 and returned for 5 yards Justin Fields pass incomplete short middle intended for Chase Claypool (defended by Mykal Walker) (defended by Grady Jarrett)",4.370,3.800
1,6:52,2,10,ATL 18,0,7,David Montgomery left tackle for 2 yards (tackle by Rashaan Evans and Mykal Walker),3.800,3.300
1,6:08,3,8,ATL 16,6,7,"Justin Fields pass complete deep left to Darnell Mooney for 16 yards, touchdown",3.300,7.000
1,6:02,,,ATL 15,7,7,Cairo Santos kicks extra point good,0.000,0.000
1,6:02,,,CHI 35,7,7,"Cairo Santos kicks off 66 yards, returned by Cordarrelle Patterson for 20 yards (tackle by Matthew Adams)",0.000,0.150
1,5:57,1,10,ATL 19,7,7,Marcus Mariota left tackle for no gain (tackle by Justin Jones),0.150,-0.390
1,5:18,2,10,ATL 19,7,7,Marcus Mariota pass complete short right to Cordarrelle Patterson for 9 yards (tackle by Kyler Gordon and Jack Sanborn),-0.390,0.100
1,4:51,3,1,ATL 28,7,7,Marcus Mariota left guard for 3 yards (tackle by Jack Sanborn),0.100,1.000
1,4:15,1,10,ATL 31,7,7,Caleb Huntley right end for 4 yards (tackle by Jack Sanborn),1.000,1.000
1,3:39,2,6,ATL 35,7,7,Marcus Mariota pass complete short right to Caleb Huntley for 2 yards (tackle by Jaquan Brisker),1.000,0.560
1,3:12,3,4,ATL 37,7,7,Marcus Mariota pass incomplete short right intended for Drake London,0.560,-0.910
1,3:07,4,4,ATL 37,7,7,"Bradley Pinion punts 47 yards, fair catch by Dante Pettis at CHI-16",-0.910,0.140
1,2:59,1,10,CHI 16,7,7,David Montgomery left tackle for 4 yards (tackle by Lorenzo Carter),-0.140,0.010
1,2:22,2,6,CHI 20,7,7,Justin Fields scrambles left end for 9 yards (tackle by Lorenzo Carter),0.010,0.870
1,1:43,1,10,CHI 29,7,7,Justin Fields pass complete short right to Darnell Mooney for 2 yards (tackle by Isaiah Oliver),0.870,0.600
1,1:07,2,8,CHI 31,7,7,Justin Fields scrambles left end for 2 yards (tackle by Mykal Walker),0.600,0.170
1,0:22,3,6,CHI 33,7,7,Justin Fields pass incomplete deep right intended for Darnell Mooney,0.170,-1.180
1,0:16,4,6,CHI 33,7,7,"Trenton Gill punts, returned by Avery Williams for 13 yards (tackle by Ryan Griffin) Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. Trenton Gill punts 40 yards, returned by Avery Williams for 13 yards. Avery Williams fumbles (forced by DeAndre Houston-Carson), recovered by Jack Sanborn at ATL-41",-1.180,2.850
1,0:02,1,10,ATL 41,7,7,Justin Fields pass complete short right to Darnell Mooney for 5 yards (tackle by Darren Hall),2.850,2.980
Quarter,Time,Down,ToGo,Location,CHI,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,ATL 36,7,7,Justin Fields scrambles left guard for 8 yards (tackle by Rashaan Evans),2.980,3.710
2,14:19,1,10,ATL 28,7,7,Justin Fields pass incomplete deep right,3.710,3.170
2,14:13,2,10,ATL 28,7,7,"Justin Fields aborted snap, recovered by Trestan Ebner at ATL-34 (tackle by Isaiah Oliver)",3.170,1.950
2,13:53,3,14,ATL 32,7,7,"Penalty on Sam Mustipher: False Start, 5 yards (accepted) (no play)",1.950,1.290
2,13:34,3,19,ATL 37,7,7,Justin Fields sacked by Grady Jarrett for -8 yards,1.290,0.270
2,12:52,4,27,ATL 45,7,7,"Trenton Gill punts 35 yards, fair catch by Avery Williams at ATL-10",0.270,0.380
2,12:45,1,10,ATL 10,7,7,"Marcus Mariota scrambles left guard for 4 yards (tackle by Al-Quadin Muhammad and Jaquan Brisker). Penalty on Kyler Gordon: Defensive Holding, 5 yards (accepted)",-0.380,0.150
2,12:21,1,10,ATL 19,7,7,Tyler Allgeier right tackle for 1 yard (tackle by Justin Jones and Kyler Gordon),0.150,-0.200
2,11:50,2,9,ATL 20,7,7,Marcus Mariota pass incomplete short middle intended for Drake London,-0.200,-0.940
2,11:48,3,9,ATL 20,7,7,Marcus Mariota pass incomplete short right intended for Kyle Pitts,-0.940,-2.030
2,11:45,4,9,ATL 20,7,7,"Bradley Pinion punts 50 yards, fair catch by Dante Pettis at CHI-30",-2.030,-0.940
2,11:37,1,10,CHI 30,7,7,David Montgomery right guard for 4 yards (tackle by Arnold Ebiketie),0.940,0.930
2,11:01,2,6,CHI 34,7,7,David Montgomery right end for 15 yards (tackle by Jaylinn Hawkins and Richie Grant),0.930,2.190
2,10:22,1,10,CHI 49,7,7,Justin Fields pass complete short right to Cole Kmet for 24 yards (tackle by AJ Terrell),2.190,3.780
2,9:39,1,10,ATL 27,7,7,David Montgomery right guard for 2 yards (tackle by Troy Andersen and Richie Grant),3.780,3.500
