Unnamed: 0,CHI,ATL
First Downs,20,18
Rush-Yds-TDs,41-160-2,33-149-1
Cmp-Att-Yd-TD-INT,14-21-153-1-1,13-20-131-1-0
Sacked-Yards,4-25,0-0
Net Pass Yards,128,131
Total Yards,288,280
Fumbles-Lost,2-0,2-2
Turnovers,1,2
Penalties-Yards,7-56,2-13
Third Down Conv.,9-16,2-9
Fourth Down Conv.,0-0,1-1
Time of Possession,35:10,24:50
