Quarter,Time,Tm,Detail,CHI,ATL
1.0,9:37,Falcons,Drake London 2 yard pass from Marcus Mariota (Younghoe Koo kick),0,7
,6:02,Bears,Darnell Mooney 16 yard pass from Justin Fields (Cairo Santos kick),7,7
2.0,7:42,Bears,Cairo Santos 41 yard field goal,10,7
,4:31,Bears,Justin Fields 4 yard rush (Cairo Santos kick),17,7
,4:18,Falcons,Cordarrelle Patterson 103 yard kickoff return (Younghoe Koo kick),17,14
,0:00,Falcons,Younghoe Koo 40 yard field goal,17,17
3.0,1:48,Falcons,Marcus Mariota 10 yard rush (Younghoe Koo kick),17,24
4.0,8:16,Bears,David Montgomery 2 yard rush (Cairo Santos kick),24,24
,1:47,Falcons,Younghoe Koo 53 yard field goal,24,27
