Unnamed: 0,ATL,CAR
First Downs,11,19
Rush-Yds-TDs,23-144-0,39-193-1
Cmp-Att-Yd-TD-INT,14-23-152-0-1,17-27-168-1-0
Sacked-Yards,6-29,0-0
Net Pass Yards,123,168
Total Yards,267,361
Fumbles-Lost,1-0,3-1
Turnovers,1,1
Penalties-Yards,9-84,4-40
Third Down Conv.,2-12,8-17
Fourth Down Conv.,0-1,0-0
Time of Possession,27:23,32:37
