Unnamed: 0,CIN,PIT
First Downs,16,21
Rush-Yds-TDs,23-78-0,19-116-0
Cmp-Att-Yd-TD-INT,23-38-231-1-2,28-45-262-1-3
Sacked-Yards,3-13,3-22
Net Pass Yards,218,240
Total Yards,296,356
Fumbles-Lost,2-0,0-0
Turnovers,2,3
Penalties-Yards,10-94,10-91
Third Down Conv.,4-15,3-11
Fourth Down Conv.,0-0,0-0
Time of Possession,29:51,30:09
