Quarter,Time,Tm,Detail,CIN,PIT
1.0,7:46,Steelers,Antonio Brown 1 yard pass from Ben Roethlisberger (Chris Boswell kick),0,7
,2:50,Bengals,Mike Nugent 44 yard field goal,3,7
2.0,14:55,Bengals,Mike Nugent 45 yard field goal,6,7
3.0,6:27,Steelers,Chris Boswell 32 yard field goal,6,10
4.0,2:57,Bengals,A.J. Green 9 yard pass from Andy Dalton (Mike Nugent kick),13,10
,1:47,Bengals,Mike Nugent 44 yard field goal,16,10
