Quarter,Time,Down,ToGo,Location,CIN,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,PIT 20,0,0,Le'Veon Bell middle for 1 yard (tackle by Vontaze Burfict),0.280,-0.130
1,14:20,2,9,PIT 21,0,0,Le'Veon Bell left tackle for 7 yards (tackle by Vontaze Burfict),-0.130,0.100
1,13:33,3,2,PIT 28,0,0,Ben Roethlisberger pass complete short right to Antonio Brown for 15 yards,0.100,1.800
1,12:52,1,10,PIT 43,0,0,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 5 yards (tackle by Dre Kirkpatrick),1.800,1.930
1,12:11,2,5,PIT 48,0,0,"Ben Roethlisberger pass complete short right to Will Johnson for 17 yards (tackle by A.J. Hawk). Penalty on Marcus Gilbert: Offensive Holding, 10 yards (no play)",1.930,0.580
1,11:42,2,15,PIT 38,0,0,"Ben Roethlisberger pass incomplete deep right intended for Antonio Brown. Penalty on Dre Kirkpatrick: Defensive Pass Interference, 22 yards (no play)",0.580,2.920
1,11:37,1,10,CIN 40,0,0,Le'Veon Bell middle for 4 yards (tackle by Reggie Nelson),2.920,2.910
1,11:01,2,6,CIN 36,0,0,Le'Veon Bell left tackle for 6 yards (tackle by Chris Carter),2.910,3.580
1,10:26,1,10,CIN 30,0,0,Le'Veon Bell left guard for 2 yards (tackle by George Iloka),3.580,3.300
1,9:48,2,8,CIN 28,0,0,Ben Roethlisberger pass complete short right to Martavis Bryant for 10 yards (tackle by Leon Hall),3.300,4.370
1,9:11,1,10,CIN 18,0,0,Ben Roethlisberger pass complete short right to Antonio Brown for 12 yards (tackle by Dre Kirkpatrick),4.370,5.830
1,8:34,1,6,CIN 6,0,0,Ben Roethlisberger pass incomplete short left intended for Heath Miller,5.830,4.950
1,8:29,2,6,CIN 6,0,0,Le'Veon Bell middle for 5 yards (tackle by Reggie Nelson),4.950,5.170
1,7:49,3,1,CIN 1,0,6,"Ben Roethlisberger pass complete short right to Antonio Brown for 1 yard, touchdown",5.170,7.000
1,7:49,,,CIN 1,0,7,Chris Boswell kicks extra point good,0.000,0.000
1,7:49,,,PIT 35,0,7,"Chris Boswell kicks off 65 yards, touchback",0.000,-0.280
1,7:46,1,10,CIN 20,0,7,Andy Dalton pass complete short right to Marvin Jones for 6 yards (tackle by Antwon Blake),0.280,0.540
1,7:10,2,4,CIN 26,0,7,Andy Dalton pass complete short right to A.J. Green for 7 yards (tackle by Robert Golden),0.540,1.140
1,6:43,1,10,CIN 33,0,7,"Penalty on Andre Smith: False Start, 5 yards (no play)",1.140,0.810
1,6:26,1,15,CIN 28,0,7,Andy Dalton pass complete short middle to Tyler Eifert for 6 yards (tackle by Ryan Shazier and Lawrence Timmons),0.810,0.730
1,5:56,2,9,CIN 34,0,7,Jeremy Hill left tackle for 12 yards (tackle by Mike Mitchell and Arthur Moats),0.730,1.990
1,5:13,1,10,CIN 46,0,7,Andy Dalton pass complete short right to Mohamed Sanu for 3 yards (tackle by Antwon Blake and Robert Golden),1.990,1.860
1,4:36,2,7,CIN 49,0,7,Andy Dalton pass complete deep left to A.J. Green for 20 yards (tackle by Ross Cockrell),1.860,3.510
1,3:49,1,10,PIT 31,0,7,Andy Dalton pass incomplete short middle intended for Tyler Eifert (defended by Cameron Heyward),3.510,2.970
1,3:42,2,10,PIT 31,0,7,Andy Dalton left tackle for 5 yards (tackle by Robert Golden),2.970,2.970
1,2:56,2,10,PIT 31,0,7,Timeout #1 by Cincinnati Bengals,2.970,2.940
1,2:56,3,5,PIT 26,0,7,Andy Dalton pass incomplete short left intended for Tyler Eifert,2.940,1.790
1,2:54,4,5,PIT 26,3,7,Mike Nugent 44 yard field goal good,1.790,3.000
1,2:54,,,CIN 35,3,7,"Mike Nugent kicks off 70 yards, returned by Dri Archer for 15 yards (tackle by Cedric Peerman)",0.000,0.380
1,2:46,1,10,PIT 10,3,7,Ben Roethlisberger pass complete short right to Heath Miller for 4 yards (tackle by Shawn Williams),-0.380,-0.460
1,2:11,2,6,PIT 14,3,7,Ben Roethlisberger pass incomplete short right intended for Heath Miller,-0.460,-0.950
1,2:08,3,6,PIT 14,3,7,Ben Roethlisberger pass incomplete deep right intended for Darrius Heyward-Bey (defended by George Iloka),-0.950,-2.470
1,2:02,4,6,PIT 14,3,7,"Jordan Berry punts 54 yards, returned by Adam Jones for 11 yards (tackle by Sean Spence). Penalty on Brandon Boykin: Player Out of Bounds on Punt (Offsetting), Penalty on Ryan Hewitt: Illegal Block Above the Waist (Offsetting) (no play)",-2.470,-2.470
1,1:51,4,6,PIT 14,3,7,"Jordan Berry punts 43 yards, returned by Adam Jones for 18 yards (tackle by Vince Williams)",-2.470,-2.980
1,1:41,1,10,PIT 39,3,7,Jeremy Hill middle for 15 yards (tackle by Mike Mitchell),2.980,3.970
1,1:15,1,10,PIT 24,3,7,Jeremy Hill middle for 2 yards (tackle by William Gay and Lawrence Timmons),3.970,3.700
1,0:29,2,8,PIT 22,3,7,Andy Dalton pass incomplete deep left intended for Marvin Jones,3.700,3.010
1,0:25,3,8,PIT 22,3,7,"Penalty on Andrew Whitworth: False Start, 5 yards (no play)",3.010,2.350
1,0:25,3,13,PIT 27,3,7,Andy Dalton sacked by Bud Dupree for 0 yards,2.350,1.670
Quarter,Time,Down,ToGo,Location,CIN,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,13,PIT 27,6,7,Mike Nugent 45 yard field goal good,1.670,3.000
2,15:00,,,CIN 35,6,7,"Mike Nugent kicks off 68 yards, returned by Dri Archer for 19 yards (tackle by Cedric Peerman)",0.000,0.140
2,14:52,1,10,PIT 16,6,7,Le'Veon Bell middle for 7 yards (tackle by Pat Sims),-0.140,0.420
2,14:08,2,3,PIT 23,6,7,Le'Veon Bell right guard for 5 yards (tackle by Pat Sims),0.420,0.810
2,13:32,1,10,PIT 28,6,7,"Penalty on Heath Miller: False Start, 5 yards (no play)",0.810,0.480
