Unnamed: 0,ATL,GNB
First Downs,21,17
Rush-Yds-TDs,44-192-1,19-56-0
Cmp-Att-Yd-TD-INT,13-25-117-1-0,20-42-247-1-2
Sacked-Yards,0-0,2-14
Net Pass Yards,117,233
Total Yards,309,289
Fumbles-Lost,1-0,3-3
Turnovers,0,5
Penalties-Yards,3-20,3-15
Third Down Conv.,8-17,8-15
Fourth Down Conv.,0-0,0-3
Time of Possession,36:04,23:56
