Quarter,Time,Tm,Detail,ATL,GNB
1.0,9:17,Falcons,Shawn Jefferson 10 yard pass from Michael Vick (Jay Feely kick),7,0
,6:38,Falcons,Artie Ulmer 1 yard blocked punt return (Jay Feely kick),14,0
2.0,12:06,Falcons,T.J. Duckett 6 yard rush (Jay Feely kick),21,0
,0:00,Falcons,Jay Feely 22 yard field goal,24,0
3.0,10:26,Packers,Donald Driver 14 yard pass from Brett Favre (Ryan Longwell kick),24,7
,3:43,Falcons,Jay Feely 23 yard field goal,27,7
