Quarter,Time,Down,ToGo,Location,PIT,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Steelers won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Chris Boswell kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NYG 25,0,0,Daniel Jones pass complete short left to Sterling Shepard for 13 yards (tackle by Steven Nelson),0.610,1.470
1,14:35,1,10,NYG 38,0,0,Saquon Barkley right tackle for -1 yards (tackle by Vince Williams),1.470,0.790
1,14:02,2,11,NYG 37,0,0,Daniel Jones pass incomplete short left intended for Evan Engram,0.790,0.100
1,13:55,3,11,NYG 37,0,0,Daniel Jones pass complete short middle to Sterling Shepard for 14 yards (tackle by Terrell Edmunds and Devin Bush),0.100,2.320
1,13:21,1,10,PIT 49,0,0,Saquon Barkley right end for 7 yards (tackle by Terrell Edmunds),2.320,2.730
1,13:09,2,3,PIT 42,0,0,Saquon Barkley right tackle for -5 yards (tackle by Olasunkanmi Adeniyi),2.730,1.360
1,12:31,3,8,PIT 47,0,0,Daniel Jones pass complete short middle to C.J. Board for 7 yards (tackle by Devin Bush),1.360,0.590
1,11:43,4,1,PIT 40,0,0,"Penalty on NYG: Delay of Game, 5 yards (no play)",0.590,0.270
1,11:40,4,6,PIT 45,0,0,"Riley Dixon punts 35 yards, muffed catch by Diontae Johnson, recovered by Devante Downs at PIT-3",0.270,6.510
1,11:24,1,3,PIT 3,0,0,Saquon Barkley right tackle for 1 yard (tackle by Bud Dupree),6.510,5.720
1,10:45,2,2,PIT 2,0,0,Daniel Jones pass incomplete short left intended for Darius Slayton (defended by T.J. Watt),5.720,4.950
1,10:41,3,2,PIT 2,0,0,Daniel Jones pass incomplete short middle intended for Evan Engram,4.950,3.250
1,10:37,4,2,PIT 2,0,3,Graham Gano 21 yard field goal good,3.250,3.000
1,10:34,,,NYG 35,0,3,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
1,10:34,1,10,PIT 25,0,3,James Conner right guard for 2 yards (tackle by Leonard Williams and Blake Martinez),0.610,0.330
1,10:01,2,8,PIT 27,0,3,James Conner left tackle for 3 yards (tackle by Leonard Williams),0.330,0.040
